GID,AGE,INDIVIDUAL_NAME,QUALITY,SEX,SPECIES,VIEW_POINT,CONTRIBUTOR,tags
11,adult,NNP_GIRM_0140,ok,Female,giraffe_masai,left,NNP GZC Car '10WHITE' Person 'A',"['outdoor', 'grass', 'giraffe', 'animal', 'sky', 'tree', 'field', 'mammal', 'walking', 'tall', 'deer', 'mountain', 'dry', 'grassy', 'wild']"
12,adult,NNP_GIRM_0140,ok,Female,giraffe_masai,left,NNP GZC Car '10WHITE' Person 'A',"['grass', 'outdoor', 'giraffe', 'tree', 'sky', 'field', 'animal', 'mammal', 'tall', 'walking', 'standing', 'group', 'grassy', 'dry']"
13,infant,____,poor,UNKNOWN NAME,giraffe_masai,front,NNP GZC Car '10WHITE' Person 'A',"['giraffe', 'outdoor', 'grass', 'sky', 'animal', 'field', 'standing', 'mammal', 'group', 'wild', 'grassy']"
14,infant,____,ok,UNKNOWN NAME,giraffe_masai,frontright,NNP GZC Car '10WHITE' Person 'A',"['grass', 'outdoor', 'sky', 'tree', 'giraffe', 'field', 'herd', 'group', 'wild', 'dry']"
15,infant,____,ok,UNKNOWN NAME,giraffe_masai,frontright,NNP GZC Car '10WHITE' Person 'A',"['giraffe', 'outdoor', 'grass', 'sky', 'animal', 'mammal', 'field', 'standing', 'tall', 'grassy', 'big cat']"
16,infant,____,ok,UNKNOWN NAME,giraffe_masai,frontright,NNP GZC Car '10WHITE' Person 'A',"['giraffe', 'outdoor', 'grass', 'sky', 'animal', 'mammal', 'field', 'standing', 'big cat', 'grassy', 'tall']"
17,infant,____,excellent,UNKNOWN NAME,giraffe_masai,right,NNP GZC Car '10WHITE' Person 'A',"['grass', 'outdoor', 'sky', 'animal', 'mammal', 'field', 'giraffe', 'grassy', 'tall', 'open']"
18,infant,____,excellent,UNKNOWN NAME,giraffe_masai,right,NNP GZC Car '10WHITE' Person 'A',"['grass', 'outdoor', 'animal', 'field', 'sky', 'mammal', 'giraffe', 'standing', 'grassy', 'open', 'tall']"
19,infant,____,good,UNKNOWN NAME,giraffe_masai,backright,NNP GZC Car '10WHITE' Person 'A',"['grass', 'outdoor', 'animal', 'field', 'sky', 'mammal', 'giraffe', 'grassy', 'open', 'tall']"
20,infant,____,excellent,UNKNOWN NAME,giraffe_masai,right,NNP GZC Car '10WHITE' Person 'A',"['grass', 'outdoor', 'animal', 'sky', 'field', 'mammal', 'giraffe', 'grassy', 'open', 'tall']"
21,infant,____,junk,UNKNOWN NAME,giraffe_masai,right,NNP GZC Car '10WHITE' Person 'A',"['grass', 'outdoor', 'animal', 'field', 'mammal', 'giraffe', 'grassy', 'mountain', 'tall', 'open', 'dry']"
22,infant,____,junk,UNKNOWN NAME,giraffe_masai,right,NNP GZC Car '10WHITE' Person 'A',"['grass', 'outdoor', 'animal', 'field', 'mammal', 'grassy', 'open', 'giraffe', 'dry', 'tall', 'cheetah']"
23,infant,____,junk,UNKNOWN NAME,giraffe_masai,back,NNP GZC Car '10WHITE' Person 'A',"['grass', 'outdoor', 'giraffe', 'animal', 'field', 'mammal', 'grassy', 'open', 'tall']"
26,infant,____,ok,UNKNOWN NAME,zebra_plains,front,NNP GZC Car '10WHITE' Person 'A',"['grass', 'outdoor', 'zebra', 'sky', 'animal', 'field', 'mammal', 'standing', 'open', 'grassy']"
27,infant,____,good,UNKNOWN NAME,zebra_plains,right,NNP GZC Car '10WHITE' Person 'A',"['outdoor', 'grass', 'animal', 'zebra', 'mammal', 'sky', 'tree', 'field', 'standing', 'tall', 'grassy', 'open']"
28,infant,____,excellent,UNKNOWN NAME,zebra_plains,right,NNP GZC Car '10WHITE' Person 'A',"['outdoor', 'grass', 'zebra', 'animal', 'tree', 'mammal', 'sky', 'field', 'standing', 'grassy', 'open']"
29,infant,____,good,UNKNOWN NAME,zebra_plains,right,NNP GZC Car '10WHITE' Person 'A',"['grass', 'zebra', 'outdoor', 'mammal', 'animal', 'field', 'tree', 'standing', 'grassy', 'open']"
30,"infant,infant","____,____","poor,ok","UNKNOWN NAME,UNKNOWN NAME","zebra_plains,zebra_plains","backright,backright","NNP GZC Car '10WHITE' Person 'A',NNP GZC Car '10WHITE' Person 'A'","['grass', 'outdoor', 'zebra', 'field', 'animal', 'sky', 'mammal', 'walking', 'herd', 'group', 'grassy', 'wild', 'open']"
31,infant,____,good,UNKNOWN NAME,zebra_plains,right,NNP GZC Car '10WHITE' Person 'A',"['grass', 'outdoor', 'zebra', 'animal', 'mammal', 'field', 'walking', 'grassy', 'wild', 'open', 'tall']"
32,infant,____,excellent,UNKNOWN NAME,zebra_plains,right,NNP GZC Car '10WHITE' Person 'A',"['grass', 'outdoor', 'zebra', 'animal', 'mammal', 'field', 'sky', 'standing', 'grassy', 'open']"
33,infant,____,good,UNKNOWN NAME,zebra_plains,backright,NNP GZC Car '10WHITE' Person 'A',"['grass', 'outdoor', 'zebra', 'animal', 'field', 'mammal', 'sky', 'standing', 'grassy', 'open']"
34,infant,____,good,UNKNOWN NAME,zebra_plains,right,NNP GZC Car '10WHITE' Person 'A',"['grass', 'outdoor', 'zebra', 'animal', 'mammal', 'field', 'sky', 'grassy', 'standing', 'open', 'dry']"
35,infant,____,good,UNKNOWN NAME,zebra_plains,right,NNP GZC Car '10WHITE' Person 'A',"['grass', 'outdoor', 'zebra', 'animal', 'sky', 'field', 'mammal', 'standing', 'grassy', 'open']"
36,juveniles - one year old,IBEIS_PZ_1386,ok,Female,zebra_plains,frontleft,NNP GZC Car '10WHITE' Person 'A',"['grass', 'zebra', 'outdoor', 'field', 'sky', 'animal', 'mammal', 'standing', 'group', 'grassy', 'dry', 'wild', 'open']"
37,infant,____,excellent,UNKNOWN NAME,zebra_plains,backleft,NNP GZC Car '10WHITE' Person 'A',"['grass', 'outdoor', 'zebra', 'field', 'animal', 'mammal', 'sky', 'grassy', 'standing', 'brown', 'open']"
38,infant,____,good,UNKNOWN NAME,zebra_plains,backleft,NNP GZC Car '10WHITE' Person 'A',"['grass', 'outdoor', 'zebra', 'animal', 'mammal', 'field', 'sky', 'brown', 'walking', 'grassy', 'dry', 'open']"
39,infant,____,good,UNKNOWN NAME,zebra_plains,right,NNP GZC Car '10WHITE' Person 'A',"['zebra', 'outdoor', 'grass', 'sky', 'animal', 'field', 'mammal', 'group', 'grassy', 'open']"
40,infant,____,ok,UNKNOWN NAME,giraffe_masai,right,NNP GZC Car '10WHITE' Person 'A',"['grass', 'outdoor', 'animal', 'giraffe', 'mammal', 'field', 'tall', 'standing', 'grassy']"
41,infant,____,good,UNKNOWN NAME,giraffe_masai,right,NNP GZC Car '10WHITE' Person 'A',"['grass', 'outdoor', 'giraffe', 'animal', 'mammal', 'field', 'tall', 'standing', 'grassy']"
42,infant,____,ok,UNKNOWN NAME,giraffe_masai,right,NNP GZC Car '10WHITE' Person 'A',"['grass', 'outdoor', 'animal', 'mammal', 'field', 'giraffe', 'tall', 'standing', 'grassy']"
43,infant,____,good,UNKNOWN NAME,zebra_plains,right,NNP GZC Car '10WHITE' Person 'A',"['grass', 'zebra', 'outdoor', 'sky', 'field', 'animal', 'mammal', 'dry', 'standing', 'grassy', 'open', 'tall']"
44,infant,____,good,UNKNOWN NAME,zebra_plains,right,NNP GZC Car '10WHITE' Person 'A',"['grass', 'outdoor', 'zebra', 'animal', 'field', 'mammal', 'dry', 'standing', 'tall', 'brown', 'grassy']"
45,infant,____,ok,UNKNOWN NAME,zebra_plains,backright,NNP GZC Car '10WHITE' Person 'A',"['grass', 'zebra', 'outdoor', 'field', 'animal', 'mammal', 'standing', 'dry', 'grassy']"
46,infant,____,good,UNKNOWN NAME,zebra_plains,backright,NNP GZC Car '10WHITE' Person 'A',"['grass', 'zebra', 'outdoor', 'animal', 'field', 'mammal', 'standing', 'dry']"
47,"infant,infant","____,____","good,poor","UNKNOWN NAME,UNKNOWN NAME","zebra_plains,zebra_plains","right,frontright","NNP GZC Car '10WHITE' Person 'A',NNP GZC Car '10WHITE' Person 'A'","['grass', 'zebra', 'outdoor', 'animal', 'mammal', 'standing', 'field', 'tall', 'dry']"
48,infant,____,good,UNKNOWN NAME,zebra_plains,right,NNP GZC Car '10WHITE' Person 'A',"['grass', 'zebra', 'outdoor', 'animal', 'field', 'mammal', 'dry', 'standing', 'grassy']"
49,"infant,infant","____,____","ok,good","UNKNOWN NAME,UNKNOWN NAME","zebra_plains,zebra_plains","frontright,right","NNP GZC Car '10WHITE' Person 'A',NNP GZC Car '10WHITE' Person 'A'","['zebra', 'grass', 'outdoor', 'mammal', 'animal', 'field', 'standing', 'dry', 'group']"
50,infant,____,ok,UNKNOWN NAME,zebra_plains,frontright,NNP GZC Car '10WHITE' Person 'A',"['grass', 'zebra', 'outdoor', 'animal', 'mammal', 'field', 'standing', 'group', 'dry']"
51,infant,____,good,UNKNOWN NAME,zebra_plains,right,NNP GZC Car '10WHITE' Person 'A',"['grass', 'outdoor', 'zebra', 'field', 'animal', 'mammal', 'dry', 'standing', 'grassy', 'open', 'lone']"
52,infant,____,ok,UNKNOWN NAME,zebra_plains,right,NNP GZC Car '10WHITE' Person 'A',"['zebra', 'outdoor', 'grass', 'animal', 'mammal', 'ground', 'field', 'standing']"
53,infant,____,poor,UNKNOWN NAME,zebra_plains,backright,NNP GZC Car '10WHITE' Person 'A',"['zebra', 'ground', 'animal', 'outdoor', 'mammal', 'standing', 'dirt']"
54,infant,____,ok,UNKNOWN NAME,zebra_plains,right,NNP GZC Car '10WHITE' Person 'A',"['grass', 'zebra', 'outdoor', 'mammal', 'animal', 'field', 'standing', 'grassy']"
55,infant,____,poor,UNKNOWN NAME,zebra_plains,right,NNP GZC Car '10WHITE' Person 'A',"['grass', 'zebra', 'outdoor', 'mammal', 'animal', 'field', 'standing', 'dry']"
56,infant,____,poor,UNKNOWN NAME,zebra_plains,backright,NNP GZC Car '10WHITE' Person 'A',"['zebra', 'grass', 'outdoor', 'animal', 'mammal', 'field', 'standing']"
57,infant,____,ok,UNKNOWN NAME,zebra_plains,right,NNP GZC Car '10WHITE' Person 'A',"['grass', 'outdoor', 'zebra', 'animal', 'standing', 'mammal', 'field', 'dry']"
58,infant,____,good,UNKNOWN NAME,zebra_plains,right,NNP GZC Car '10WHITE' Person 'A',"['grass', 'outdoor', 'field', 'sky', 'mammal', 'animal', 'tall', 'zebra', 'standing', 'dry', 'brown', 'open', 'grassy']"
59,infant,____,ok,UNKNOWN NAME,zebra_plains,backright,NNP GZC Car '10WHITE' Person 'A',"['grass', 'outdoor', 'zebra', 'animal', 'mammal', 'sky', 'field', 'standing', 'dry', 'tall', 'grassy']"
60,infant,____,ok,UNKNOWN NAME,zebra_plains,right,NNP GZC Car '10WHITE' Person 'A',"['zebra', 'grass', 'outdoor', 'animal', 'mammal', 'field', 'standing', 'dry']"
61,adult,IBEIS_PZ_1387,good,Female,zebra_plains,left,NNP GZC Car '10WHITE' Person 'A',"['grass', 'outdoor', 'field', 'animal', 'mammal', 'zebra', 'standing', 'grassy', 'open']"
62,infant,____,ok,UNKNOWN NAME,zebra_plains,backright,NNP GZC Car '10WHITE' Person 'A',"['grass', 'outdoor', 'zebra', 'field', 'animal', 'mammal', 'standing']"
63,infant,____,poor,UNKNOWN NAME,zebra_plains,backright,NNP GZC Car '10WHITE' Person 'A',"['grass', 'outdoor', 'animal', 'mammal', 'standing', 'zebra', 'field']"
64,"adult,infant","IBEIS_PZ_1387,____","good,poor","Female,UNKNOWN NAME","zebra_plains,zebra_plains","left,left","NNP GZC Car '10WHITE' Person 'A',NNP GZC Car '10WHITE' Person 'A'","['grass', 'zebra', 'outdoor', 'mammal', 'animal', 'sky', 'field', 'standing', 'dry', 'grassy', 'group']"
65,infant,____,ok,UNKNOWN NAME,zebra_plains,backleft,NNP GZC Car '10WHITE' Person 'A',"['outdoor', 'grass', 'zebra', 'animal', 'mammal', 'standing', 'field', 'dry']"
66,infant,____,ok,UNKNOWN NAME,zebra_plains,backleft,NNP GZC Car '10WHITE' Person 'A',"['grass', 'outdoor', 'zebra', 'animal', 'standing', 'field', 'mammal', 'dry', 'lone', 'tall', 'grassy']"
67,infant,____,good,UNKNOWN NAME,zebra_plains,backleft,NNP GZC Car '10WHITE' Person 'A',"['grass', 'outdoor', 'animal', 'mammal', 'standing', 'field', 'zebra', 'dry', 'grassy']"
68,infant,____,ok,UNKNOWN NAME,zebra_plains,backleft,NNP GZC Car '10WHITE' Person 'A',"['grass', 'outdoor', 'zebra', 'animal', 'field', 'standing', 'mammal', 'dry', 'grassy', 'lone']"
69,infant,____,junk,UNKNOWN NAME,zebra_plains,left,NNP GZC Car '10WHITE' Person 'A',"['grass', 'outdoor', 'field', 'animal', 'mammal', 'dry', 'grassy']"
70,infant,____,junk,UNKNOWN NAME,zebra_plains,left,NNP GZC Car '10WHITE' Person 'A',"['grass', 'outdoor', 'animal', 'field', 'mammal', 'dry', 'grassy']"
71,infant,____,poor,UNKNOWN NAME,zebra_plains,backleft,NNP GZC Car '10WHITE' Person 'A',"['grass', 'outdoor', 'standing', 'animal', 'field', 'zebra', 'mammal', 'dry', 'grassy']"
72,infant,IBEIS_PZ_0630,good,Female,zebra_plains,left,NNP GZC Car '10WHITE' Person 'A',"['grass', 'outdoor', 'zebra', 'field', 'animal', 'mammal', 'standing', 'dry', 'grassy']"
73,"infant,infant","____,____","excellent,ok","UNKNOWN NAME,UNKNOWN NAME","zebra_plains,zebra_plains","frontright,backright","NNP GZC Car '10WHITE' Person 'A',NNP GZC Car '10WHITE' Person 'A'","['grass', 'zebra', 'outdoor', 'field', 'animal', 'mammal', 'sky', 'dry', 'standing', 'tall', 'brown', 'group', 'grassy']"
74,adult,IBEIS_PZ_0516,excellent,Male,zebra_plains,left,NNP GZC Car '10WHITE' Person 'A',"['grass', 'zebra', 'outdoor', 'field', 'animal', 'mammal', 'standing', 'dry', 'grassy']"
75,infant,____,excellent,UNKNOWN NAME,zebra_plains,right,NNP GZC Car '10WHITE' Person 'A',"['grass', 'outdoor', 'zebra', 'animal', 'field', 'mammal', 'standing', 'brown', 'dry', 'grassy', 'open']"
76,infant,____,poor,UNKNOWN NAME,zebra_plains,frontright,NNP GZC Car '10WHITE' Person 'A',"['grass', 'outdoor', 'zebra', 'animal', 'field', 'mammal', 'standing', 'dry', 'grassy']"
77,infant,____,ok,UNKNOWN NAME,zebra_plains,frontright,NNP GZC Car '10WHITE' Person 'A',"['grass', 'zebra', 'outdoor', 'field', 'animal', 'standing', 'mammal', 'looking', 'dry', 'open']"
78,adult,IBEIS_PZ_1562,good,UNKNOWN SEX,zebra_plains,frontleft,NNP GZC Car '10WHITE' Person 'A',"['grass', 'zebra', 'outdoor', 'sky', 'animal', 'standing', 'mammal', 'field', 'dry']"
79,adult,IBEIS_PZ_1562,ok,UNKNOWN SEX,zebra_plains,frontleft,NNP GZC Car '10WHITE' Person 'A',"['grass', 'outdoor', 'zebra', 'sky', 'animal', 'field', 'mammal', 'standing', 'dry']"
80,adult,IBEIS_PZ_1387,good,Female,zebra_plains,left,NNP GZC Car '10WHITE' Person 'A',"['grass', 'outdoor', 'zebra', 'sky', 'field', 'animal', 'mammal', 'standing', 'dry', 'grassy', 'open', 'tall']"
81,adult,IBEIS_PZ_1387,good,Female,zebra_plains,left,NNP GZC Car '10WHITE' Person 'A',"['grass', 'outdoor', 'zebra', 'sky', 'field', 'animal', 'mammal', 'standing', 'dry', 'grassy', 'open', 'tall']"
82,infant,____,ok,UNKNOWN NAME,zebra_plains,right,NNP GZC Car '10WHITE' Person 'A',"['grass', 'outdoor', 'zebra', 'field', 'standing', 'animal', 'mammal', 'brown', 'dry']"
83,infant,____,ok,UNKNOWN NAME,zebra_plains,backright,NNP GZC Car '10WHITE' Person 'A',"['outdoor', 'grass', 'ground', 'animal', 'mammal', 'zebra', 'field', 'standing', 'dirt']"
84,infant,____,ok,UNKNOWN NAME,zebra_plains,backright,NNP GZC Car '10WHITE' Person 'A',"['outdoor', 'grass', 'ground', 'animal', 'mammal', 'zebra', 'standing', 'field', 'dirt']"
85,infant,____,excellent,UNKNOWN NAME,zebra_plains,right,NNP GZC Car '10WHITE' Person 'A',"['grass', 'zebra', 'outdoor', 'animal', 'field', 'mammal', 'standing', 'dry', 'grassy']"
86,infant,____,good,UNKNOWN NAME,zebra_plains,right,NNP GZC Car '10WHITE' Person 'A',"['grass', 'zebra', 'outdoor', 'animal', 'mammal', 'field', 'tall', 'standing', 'dry', 'lone']"
87,infant,____,good,UNKNOWN NAME,zebra_plains,frontright,NNP GZC Car '10WHITE' Person 'A',"['grass', 'zebra', 'outdoor', 'animal', 'mammal', 'field', 'standing', 'grassy', 'dry']"
88,infant,____,good,UNKNOWN NAME,zebra_plains,right,NNP GZC Car '10WHITE' Person 'A',"['grass', 'zebra', 'outdoor', 'animal', 'mammal', 'field', 'standing', 'dry', 'lone']"
89,infant,____,good,UNKNOWN NAME,zebra_plains,right,NNP GZC Car '10WHITE' Person 'A',"['ground', 'outdoor', 'animal', 'mammal', 'dirt', 'standing', 'zebra']"
103,infant,____,ok,UNKNOWN NAME,giraffe_masai,backright,NNP GZC Car '10WHITE' Person 'A',"['outdoor', 'grass', 'giraffe', 'tree', 'animal', 'field', 'mammal', 'standing', 'tall']"
104,infant,____,poor,UNKNOWN NAME,giraffe_masai,backright,NNP GZC Car '10WHITE' Person 'A',"['outdoor', 'grass', 'giraffe', 'tree', 'animal', 'mammal', 'field', 'standing', 'tall', 'grassy']"
105,adult,IBEIS_PZ_1545,ok,Male,zebra_plains,left,NNP GZC Car '11WHITE' Person 'A',"['grass', 'outdoor', 'animal', 'field', 'mammal', 'zebra', 'grassy', 'open']"
106,adult,IBEIS_PZ_1545,ok,Male,zebra_plains,left,NNP GZC Car '11WHITE' Person 'A',"['grass', 'outdoor', 'animal', 'zebra', 'field', 'mammal', 'grassy', 'open']"
107,adult,IBEIS_PZ_1545,ok,Male,zebra_plains,left,NNP GZC Car '11WHITE' Person 'A',"['grass', 'outdoor', 'zebra', 'animal', 'field', 'mammal', 'grassy', 'standing', 'open', 'dry']"
108,adult,IBEIS_PZ_1545,ok,Male,zebra_plains,left,NNP GZC Car '11WHITE' Person 'A',"['grass', 'outdoor', 'zebra', 'animal', 'field', 'mammal', 'open', 'grassy', 'dry']"
109,adult,IBEIS_PZ_1545,ok,Male,zebra_plains,left,NNP GZC Car '11WHITE' Person 'A',"['grass', 'outdoor', 'zebra', 'field', 'animal', 'mammal', 'open', 'grassy', 'dry']"
121,adult,IBEIS_PZ_1671,ok,Female,zebra_plains,left,NNP GZC Car '11WHITE' Person 'A',"['zebra', 'outdoor', 'grass', 'sky', 'tree', 'animal', 'field', 'mammal', 'standing', 'grassy']"
122,"infant,adult","____,IBEIS_PZ_1671","ok,good","UNKNOWN NAME,Female","zebra_plains,zebra_plains","right,left","NNP GZC Car '11WHITE' Person 'A',NNP GZC Car '11WHITE' Person 'A'","['grass', 'zebra', 'outdoor', 'sky', 'animal', 'mammal', 'field', 'tree', 'standing', 'grassy', 'group']"
123,adult,IBEIS_PZ_1671,good,Female,zebra_plains,left,NNP GZC Car '11WHITE' Person 'A',"['zebra', 'grass', 'outdoor', 'sky', 'animal', 'mammal', 'field', 'standing', 'group', 'grassy']"
124,"infant,infant,infant","____,____,____","good,good,ok","UNKNOWN NAME,UNKNOWN NAME,UNKNOWN NAME","zebra_plains,zebra_plains,zebra_plains","right,frontright,right","NNP GZC Car '11WHITE' Person 'A',NNP GZC Car '11WHITE' Person 'A',NNP GZC Car '11WHITE' Person 'A'","['zebra', 'grass', 'outdoor', 'sky', 'field', 'animal', 'mammal', 'standing', 'group', 'grassy']"
125,"infant,infant,infant","____,____,____","ok,ok,good","UNKNOWN NAME,UNKNOWN NAME,UNKNOWN NAME","zebra_plains,zebra_plains,zebra_plains","right,frontright,right","NNP GZC Car '11WHITE' Person 'A',NNP GZC Car '11WHITE' Person 'A',NNP GZC Car '11WHITE' Person 'A'","['grass', 'zebra', 'outdoor', 'sky', 'field', 'mammal', 'animal', 'group', 'herd', 'grassy', 'open']"
126,infant,____,ok,UNKNOWN NAME,zebra_plains,backleft,NNP GZC Car '11WHITE' Person 'A',"['grass', 'outdoor', 'zebra', 'animal', 'field', 'sky', 'mammal', 'standing', 'open', 'brown', 'grassy']"
127,infant,IBEIS_PZ_1550,good,UNKNOWN SEX,zebra_plains,left,NNP GZC Car '11WHITE' Person 'A',"['grass', 'outdoor', 'zebra', 'sky', 'field', 'animal', 'mammal', 'grassy', 'standing', 'open', 'dry']"
128,"infant,infant","____,IBEIS_PZ_1550","excellent,excellent","UNKNOWN NAME,UNKNOWN SEX","zebra_plains,zebra_plains","frontright,left","NNP GZC Car '11WHITE' Person 'A',NNP GZC Car '11WHITE' Person 'A'","['grass', 'zebra', 'outdoor', 'field', 'sky', 'animal', 'mammal', 'standing', 'grassy', 'open']"
129,"infant,juveniles - one year old","____,IBEIS_PZ_1386","good,ok","UNKNOWN NAME,Female","zebra_plains,zebra_plains","frontright,left","NNP GZC Car '11WHITE' Person 'A',NNP GZC Car '11WHITE' Person 'A'","['grass', 'zebra', 'outdoor', 'sky', 'mammal', 'animal', 'field', 'group', 'standing', 'grassy']"
130,adult,IBEIS_PZ_1717,excellent,Male,zebra_plains,left,NNP GZC Car '11WHITE' Person 'A',"['grass', 'zebra', 'outdoor', 'animal', 'mammal', 'field', 'standing', 'open', 'grassy']"
131,adult,IBEIS_PZ_1717,good,Male,zebra_plains,left,NNP GZC Car '11WHITE' Person 'A',"['grass', 'zebra', 'outdoor', 'field', 'animal', 'mammal', 'standing', 'open', 'dry', 'grassy']"
132,adult,IBEIS_PZ_1554,excellent,UNKNOWN SEX,zebra_plains,left,NNP GZC Car '11WHITE' Person 'A',"['grass', 'outdoor', 'zebra', 'sky', 'field', 'animal', 'mammal', 'open', 'standing', 'grassy']"
133,infant,IBEIS_PZ_1725,ok,Female,zebra_plains,left,NNP GZC Car '11WHITE' Person 'A',"['grass', 'outdoor', 'field', 'sky', 'animal', 'mammal', 'zebra', 'open', 'standing', 'grassy', 'dry']"
134,juveniles - one year old,IBEIS_PZ_1386,ok,Female,zebra_plains,left,NNP GZC Car '11WHITE' Person 'A',"['grass', 'zebra', 'outdoor', 'sky', 'field', 'animal', 'mammal', 'open', 'grassy', 'group']"
135,infant,IBEIS_PZ_1725,good,Female,zebra_plains,left,NNP GZC Car '11WHITE' Person 'A',"['grass', 'outdoor', 'zebra', 'field', 'sky', 'animal', 'mammal', 'standing', 'open', 'grassy']"
136,infant,IBEIS_PZ_1543,good,Male,zebra_plains,left,NNP GZC Car '11WHITE' Person 'A',"['grass', 'outdoor', 'zebra', 'tree', 'sky', 'field', 'animal', 'mammal', 'standing', 'open']"
137,juveniles - one year old,IBEIS_PZ_1386,good,Female,zebra_plains,left,NNP GZC Car '11WHITE' Person 'A',"['grass', 'zebra', 'outdoor', 'sky', 'field', 'mammal', 'animal', 'standing', 'open', 'grassy']"
138,juveniles - one year old,IBEIS_PZ_1386,excellent,Female,zebra_plains,left,NNP GZC Car '11WHITE' Person 'A',"['grass', 'zebra', 'outdoor', 'field', 'sky', 'animal', 'mammal', 'standing', 'grassy', 'open']"
139,juveniles - one year old,IBEIS_PZ_1386,good,Female,zebra_plains,left,NNP GZC Car '11WHITE' Person 'A',"['grass', 'zebra', 'outdoor', 'sky', 'field', 'animal', 'mammal', 'standing', 'grassy']"
140,"infant,infant","____,IBEIS_PZ_1543","ok,good","UNKNOWN NAME,Male","zebra_plains,zebra_plains","backleft,left","NNP GZC Car '11WHITE' Person 'A',NNP GZC Car '11WHITE' Person 'A'","['zebra', 'grass', 'outdoor', 'animal', 'mammal', 'tree', 'field', 'standing']"
141,"infant,infant","IBEIS_PZ_1543,____","ok,good","Male,UNKNOWN NAME","zebra_plains,zebra_plains","left,backleft","NNP GZC Car '11WHITE' Person 'A',NNP GZC Car '11WHITE' Person 'A'","['zebra', 'grass', 'outdoor', 'tree', 'field', 'animal', 'sky', 'mammal', 'standing', 'grassy']"
142,"infant,infant","____,____","ok,good","UNKNOWN NAME,UNKNOWN NAME","zebra_plains,zebra_plains","backleft,backleft","NNP GZC Car '11WHITE' Person 'A',NNP GZC Car '11WHITE' Person 'A'","['zebra', 'grass', 'outdoor', 'animal', 'tree', 'field', 'sky', 'mammal', 'standing', 'open']"
143,"infant,infant","____,____","good,ok","UNKNOWN NAME,UNKNOWN NAME","zebra_plains,zebra_plains","backleft,backleft","NNP GZC Car '11WHITE' Person 'A',NNP GZC Car '11WHITE' Person 'A'","['zebra', 'grass', 'outdoor', 'tree', 'field', 'animal', 'sky', 'mammal', 'standing', 'open']"
144,"infant,infant","____,____","ok,good","UNKNOWN NAME,UNKNOWN NAME","zebra_plains,zebra_plains","backleft,backleft","NNP GZC Car '11WHITE' Person 'A',NNP GZC Car '11WHITE' Person 'A'","['grass', 'zebra', 'outdoor', 'field', 'animal', 'mammal', 'standing', 'open', 'group', 'grassy']"
145,adult,IBEIS_PZ_1553,good,Female,zebra_plains,left,NNP GZC Car '11WHITE' Person 'A',"['grass', 'outdoor', 'zebra', 'sky', 'field', 'animal', 'mammal', 'standing', 'grassy', 'open', 'dry']"
146,adult,IBEIS_PZ_1553,excellent,Female,zebra_plains,left,NNP GZC Car '11WHITE' Person 'A',"['grass', 'outdoor', 'zebra', 'field', 'sky', 'animal', 'mammal', 'dry', 'grassy', 'standing', 'open']"
