ANNOTATION_ID,NID,NAME,SPECIES,SEX,AGE_MONTHS,EXEMPLAR_FLAG,IMAGE_QUALITY,IMAGE_YAW
12328,1687,IBEIS_PZ_1414,zebra_plains,Male,adult,0,poor,left,"NNP GZC Car '1BLUE', Person 'A'"
12339,1675,IBEIS_PZ_1402,zebra_plains,Female,adult,1,excellent,left,"NNP GZC Car '1BLUE', Person 'A'"
16436,-16436,____,zebra_plains,UNKNOWN NAME,infant,0,good,right,"NNP GZC Car '8WHITE', Person 'A'"
12343,876,IBEIS_PZ_0603,zebra_plains,Female,adult,0,ok,backleft,"NNP GZC Car '1BLUE', Person 'A'"
12980,1662,IBEIS_PZ_1389,zebra_plains,UNKNOWN SEX,infant,0,ok,backleft,"NNP GZC Car '3PURPLE', Person 'B'"
8885,64,NNP_GIRM_0048,giraffe_masai,UNKNOWN SEX,infant,0,poor,front,"GIRM_MUGU_20,hyrule:joncrall:/media/raid/work/GIRM_MUGU_20,,,,,0"
14347,1549,IBEIS_PZ_1276,zebra_plains,Male,adult,0,excellent,left,"NNP GZC Car '1PURPLE', Person 'D'"
12359,1375,IBEIS_PZ_1102,zebra_plains,Female,infant,0,good,left,"NNP GZC Car '1BLUE', Person 'A'"
12360,1028,IBEIS_PZ_0755,zebra_plains,Female,adult,0,ok,backleft,"NNP GZC Car '1BLUE', Person 'A'"
12361,1386,IBEIS_PZ_1113,zebra_plains,Male,adult,0,ok,left,"NNP GZC Car '1BLUE', Person 'A'"
12362,2178,IBEIS_PZ_1905,zebra_plains,Male,adult,0,ok,left,"NNP GZC Car '1BLUE', Person 'A'"
12363,1201,IBEIS_PZ_0928,zebra_plains,Male,adult,1,ok,left,"NNP GZC Car '1BLUE', Person 'A'"
13312,-13312,____,zebra_plains,UNKNOWN NAME,infant,0,good,right,"NNP GZC Car '12WHITE', Person 'A'"
14349,2168,IBEIS_PZ_1895,zebra_plains,Female,adult,1,ok,left,"NNP GZC Car '1PURPLE', Person 'B'"
12376,535,IBEIS_PZ_0262,zebra_plains,Female,infant,1,excellent,left,"NNP GZC Car '1BLUE', Person 'B'"
12377,1382,IBEIS_PZ_1109,zebra_plains,Male,adult,0,good,frontleft,"NNP GZC Car '1BLUE', Person 'B'"
12378,604,IBEIS_PZ_0331,zebra_plains,Female,adult,1,excellent,left,"NNP GZC Car '1BLUE', Person 'B'"
12379,1681,IBEIS_PZ_1408,zebra_plains,UNKNOWN SEX,adult,1,good,left,"NNP GZC Car '1BLUE', Person 'A'"
12987,1661,IBEIS_PZ_1388,zebra_plains,Female,adult,0,ok,backleft,"NNP GZC Car '3PURPLE', Person 'B'"
12393,-12393,____,zebra_plains,UNKNOWN NAME,infant,0,junk,right,"NNP GZC Car '1BLUE', Person 'B'"
12394,-12394,____,zebra_plains,UNKNOWN NAME,infant,0,good,right,"NNP GZC Car '1BLUE', Person 'B'"
12399,607,IBEIS_PZ_0334,zebra_plains,Female,adult,0,ok,backleft,"NNP GZC Car '1BLUE', Person 'B'"
12400,1701,IBEIS_PZ_1428,zebra_plains,UNKNOWN SEX,infant,0,ok,backleft,"NNP GZC Car '1BLUE', Person 'B'"
12401,1699,IBEIS_PZ_1426,zebra_plains,Female,adult,1,good,left,"NNP GZC Car '1BLUE', Person 'B'"
12404,995,IBEIS_PZ_0722,zebra_plains,Female,adult,0,good,left,"NNP GZC Car '1BLUE', Person 'B'"
12405,1375,IBEIS_PZ_1102,zebra_plains,Female,infant,1,excellent,left,"NNP GZC Car '1BLUE', Person 'B'"
12406,2178,IBEIS_PZ_1905,zebra_plains,Male,adult,0,ok,left,"NNP GZC Car '1BLUE', Person 'B'"
16503,1537,IBEIS_PZ_1264,zebra_plains,UNKNOWN SEX,infant,1,good,left,"NNP GZC Car '8WHITE', Person 'A'"
16504,1777,IBEIS_PZ_1504,zebra_plains,UNKNOWN SEX,infant,0,ok,backleft,"NNP GZC Car '8WHITE', Person 'A'"
12409,1676,IBEIS_PZ_1403,zebra_plains,Female,adult,1,excellent,left,"NNP GZC Car '1BLUE', Person 'A'"
12413,1384,IBEIS_PZ_1111,zebra_plains,Female,adult,0,ok,left,"NNP GZC Car '1BLUE', Person 'B'"
12414,696,IBEIS_PZ_0423,zebra_plains,Female,juveniles - one year old,0,ok,frontleft,"NNP GZC Car '1BLUE', Person 'B'"
12415,1697,IBEIS_PZ_1424,zebra_plains,Female,adult,1,excellent,left,"NNP GZC Car '1BLUE', Person 'B'"
13675,1675,IBEIS_PZ_1402,zebra_plains,Female,adult,0,ok,left,"NNP GZC Car '7WHITE', Person 'B'"
12420,1377,IBEIS_PZ_1104,zebra_plains,Female,adult,0,good,backleft,"NNP GZC Car '1BLUE', Person 'B'"
8898,60,NNP_GIRM_0046,giraffe_masai,Male,adult,0,ok,left,"GIRM_MUGU_20,hyrule:joncrall:/media/raid/work/GIRM_MUGU_20,,,,,0"
12433,290,IBEIS_PZ_0017,zebra_plains,Male,juveniles- two year old,0,ok,left,"NNP GZC Car '1WHITE', Person 'C'"
12438,1118,IBEIS_PZ_0845,zebra_plains,Male,adult,0,poor,left,"NNP GZC Car '2WHITE', Person 'A'"
12441,1113,IBEIS_PZ_0840,zebra_plains,UNKNOWN SEX,juveniles - one year old,0,poor,left,"NNP GZC Car '2WHITE', Person 'A'"
12442,1104,IBEIS_PZ_0831,zebra_plains,UNKNOWN SEX,infant,0,poor,left,"NNP GZC Car '2WHITE', Person 'A'"
12443,1114,IBEIS_PZ_0841,zebra_plains,UNKNOWN SEX,adult,1,ok,left,"NNP GZC Car '2WHITE', Person 'A'"
12444,1126,IBEIS_PZ_0853,zebra_plains,UNKNOWN SEX,infant,0,poor,left,"NNP GZC Car '2WHITE', Person 'A'"
12445,693,IBEIS_PZ_0420,zebra_plains,Female,adult,0,poor,left,"NNP GZC Car '2WHITE', Person 'A'"
12448,677,IBEIS_PZ_0404,zebra_plains,Female,adult,0,poor,left,"NNP GZC Car '2WHITE', Person 'A'"
12449,1133,IBEIS_PZ_0860,zebra_plains,UNKNOWN SEX,infant,0,poor,backleft,"NNP GZC Car '2WHITE', Person 'A'"
12450,1130,IBEIS_PZ_0857,zebra_plains,UNKNOWN SEX,infant,0,poor,left,"NNP GZC Car '2WHITE', Person 'A'"
12451,1122,IBEIS_PZ_0849,zebra_plains,UNKNOWN SEX,adult,0,junk,left,"NNP GZC Car '2WHITE', Person 'A'"
12453,674,IBEIS_PZ_0401,zebra_plains,Female,juveniles- two year old,1,good,left,"NNP GZC Car '2WHITE', Person 'A'"
12459,776,IBEIS_PZ_0503,zebra_plains,Female,adult,0,poor,frontleft,"NNP GZC Car '2WHITE', Person 'A'"
16556,-16556,____,zebra_plains,UNKNOWN NAME,infant,0,junk,front,"NNP GZC Car '8WHITE', Person 'A'"
16557,-16557,____,zebra_plains,UNKNOWN NAME,infant,0,junk,backright,"NNP GZC Car '8WHITE', Person 'A'"
16558,-16558,____,zebra_plains,UNKNOWN NAME,infant,0,junk,backright,"NNP GZC Car '8WHITE', Person 'A'"
16559,-16559,____,zebra_plains,UNKNOWN NAME,infant,0,junk,back,"NNP GZC Car '8WHITE', Person 'A'"
12465,1131,IBEIS_PZ_0858,zebra_plains,UNKNOWN SEX,adult,0,ok,frontright,"NNP GZC Car '2WHITE', Person 'A'"
12466,1121,IBEIS_PZ_0848,zebra_plains,Female,adult,0,ok,left,"NNP GZC Car '2WHITE', Person 'A'"
12470,1132,IBEIS_PZ_0859,zebra_plains,UNKNOWN SEX,infant,1,good,left,"NNP GZC Car '2WHITE', Person 'A'"
12471,542,IBEIS_PZ_0269,zebra_plains,Female,adult,0,ok,backleft,"NNP GZC Car '2WHITE', Person 'A'"
12472,1125,IBEIS_PZ_0852,zebra_plains,Male,juveniles - one year old,0,good,backleft,"NNP GZC Car '2WHITE', Person 'A'"
12476,1112,IBEIS_PZ_0839,zebra_plains,UNKNOWN SEX,adult,0,ok,right,"NNP GZC Car '2WHITE', Person 'A'"
12477,1109,IBEIS_PZ_0836,zebra_plains,Female,adult,0,ok,backleft,"NNP GZC Car '2WHITE', Person 'A'"
12478,1123,IBEIS_PZ_0850,zebra_plains,UNKNOWN SEX,adult,0,poor,left,"NNP GZC Car '2WHITE', Person 'A'"
12479,1985,IBEIS_PZ_1712,zebra_plains,Female,adult,1,good,left,"NNP GZC Car '2WHITE', Person 'A'"
12480,1110,IBEIS_PZ_0837,zebra_plains,UNKNOWN SEX,juveniles- two year old,0,poor,left,"NNP GZC Car '2WHITE', Person 'A'"
12481,542,IBEIS_PZ_0269,zebra_plains,Female,adult,0,ok,left,"NNP GZC Car '2WHITE', Person 'A'"
12482,1106,IBEIS_PZ_0833,zebra_plains,UNKNOWN SEX,adult,0,junk,left,"NNP GZC Car '2WHITE', Person 'A'"
12483,1102,IBEIS_PZ_0829,zebra_plains,Male,juveniles- two year old,0,ok,backleft,"NNP GZC Car '2WHITE', Person 'A'"
12484,865,IBEIS_PZ_0592,zebra_plains,Female,adult,0,ok,left,"NNP GZC Car '2WHITE', Person 'A'"
12485,1129,IBEIS_PZ_0856,zebra_plains,UNKNOWN SEX,infant,0,poor,left,"NNP GZC Car '2WHITE', Person 'A'"
12487,1104,IBEIS_PZ_0831,zebra_plains,UNKNOWN SEX,infant,0,poor,backleft,"NNP GZC Car '2WHITE', Person 'A'"
12488,1120,IBEIS_PZ_0847,zebra_plains,UNKNOWN SEX,adult,1,ok,left,"NNP GZC Car '2WHITE', Person 'A'"
12489,865,IBEIS_PZ_0592,zebra_plains,Female,adult,0,good,backleft,"NNP GZC Car '2WHITE', Person 'A'"
12490,677,IBEIS_PZ_0404,zebra_plains,Female,adult,0,poor,left,"NNP GZC Car '2WHITE', Person 'A'"
12493,677,IBEIS_PZ_0404,zebra_plains,Female,adult,0,poor,left,"NNP GZC Car '2WHITE', Person 'A'"
12494,674,IBEIS_PZ_0401,zebra_plains,Female,juveniles- two year old,0,ok,backleft,"NNP GZC Car '2WHITE', Person 'A'"
12499,1154,IBEIS_PZ_0881,zebra_plains,Female,adult,0,ok,frontleft,"NNP GZC Car '1WHITE', Person 'B'"
12500,1143,IBEIS_PZ_0870,zebra_plains,Female,adult,0,poor,left,"NNP GZC Car '1WHITE', Person 'B'"
12501,1261,IBEIS_PZ_0988,zebra_plains,UNKNOWN SEX,infant,0,poor,left,"NNP GZC Car '1WHITE', Person 'B'"
13689,-13689,____,zebra_plains,UNKNOWN NAME,infant,0,poor,left,"NNP GZC Car '7WHITE', Person 'B'"
12505,1185,IBEIS_PZ_0912,zebra_plains,Male,adult,1,good,left,"NNP GZC Car '1WHITE', Person 'C'"
18469,-18469,____,zebra_plains,UNKNOWN NAME,infant,0,poor,right,"NNP GZC Car '2RED', Person 'A'"
12512,347,IBEIS_PZ_0074,zebra_plains,Male,adult,0,poor,backleft,"NNP GZC Car '1WHITE', Person 'B'"
13691,1620,IBEIS_PZ_1347,zebra_plains,Male,adult,0,ok,left,"NNP GZC Car '7WHITE', Person 'B'"
16612,-16612,____,zebra_plains,UNKNOWN NAME,infant,0,poor,backleft,"NNP GZC Car '8WHITE', Person 'A'"
16613,-16613,____,zebra_plains,UNKNOWN NAME,infant,0,good,back,"NNP GZC Car '8WHITE', Person 'A'"
16614,-16614,____,zebra_plains,UNKNOWN NAME,infant,0,junk,back,"NNP GZC Car '8WHITE', Person 'A'"
12519,1170,IBEIS_PZ_0897,zebra_plains,UNKNOWN SEX,infant,0,good,right,"NNP GZC Car '1WHITE', Person 'C'"
16616,-16616,____,zebra_plains,UNKNOWN NAME,infant,0,poor,backright,"NNP GZC Car '8WHITE', Person 'A'"
16617,-16617,____,zebra_plains,UNKNOWN NAME,infant,0,junk,backleft,"NNP GZC Car '8WHITE', Person 'A'"
12522,1144,IBEIS_PZ_0871,zebra_plains,UNKNOWN SEX,infant,0,junk,right,"NNP GZC Car '1WHITE', Person 'B'"
12523,1142,IBEIS_PZ_0869,zebra_plains,Female,adult,0,junk,left,"NNP GZC Car '1WHITE', Person 'B'"
12524,1256,IBEIS_PZ_0983,zebra_plains,UNKNOWN SEX,adult,0,junk,left,"NNP GZC Car '1WHITE', Person 'B'"
12527,1193,IBEIS_PZ_0920,zebra_plains,Female,adult,0,good,right,"NNP GZC Car '1WHITE', Person 'C'"
12528,1235,IBEIS_PZ_0962,zebra_plains,Female,adult,0,poor,left,"NNP GZC Car '1WHITE', Person 'C'"
13011,1668,IBEIS_PZ_1395,zebra_plains,UNKNOWN SEX,infant,0,ok,backleft,"NNP GZC Car '3PURPLE', Person 'B'"
12532,1240,IBEIS_PZ_0967,zebra_plains,Male,juveniles - one year old,0,poor,left,"NNP GZC Car '1WHITE', Person 'A'"
12537,1840,IBEIS_PZ_1567,zebra_plains,Male,adult,0,ok,left,"NNP GZC Car '1WHITE', Person 'C'"
12544,1135,IBEIS_PZ_0862,zebra_plains,Male,infant,0,good,right,"NNP GZC Car '1WHITE', Person 'C'"
12545,354,IBEIS_PZ_0081,zebra_plains,Male,infant,1,ok,left,"NNP GZC Car '1WHITE', Person 'C'"
12546,340,IBEIS_PZ_0067,zebra_plains,Female,adult,0,ok,left,"NNP GZC Car '1WHITE', Person 'B'"
12553,1151,IBEIS_PZ_0878,zebra_plains,Female,adult,0,poor,left,"NNP GZC Car '1WHITE', Person 'A'"
12554,1164,IBEIS_PZ_0891,zebra_plains,UNKNOWN SEX,infant,0,junk,right,"NNP GZC Car '1WHITE', Person 'A'"
12555,1195,IBEIS_PZ_0922,zebra_plains,Female,adult,1,good,left,"NNP GZC Car '1WHITE', Person 'A'"
12556,1167,IBEIS_PZ_0894,zebra_plains,Male,adult,1,ok,left,"NNP GZC Car '1WHITE', Person 'A'"
12558,1234,IBEIS_PZ_0961,zebra_plains,UNKNOWN SEX,infant,0,ok,frontright,"NNP GZC Car '1WHITE', Person 'C'"
12561,1177,IBEIS_PZ_0904,zebra_plains,Male,adult,0,good,left,"NNP GZC Car '1WHITE', Person 'B'"
12562,487,IBEIS_PZ_0214,zebra_plains,Male,adult,0,ok,left,"NNP GZC Car '1WHITE', Person 'B'"
12565,1151,IBEIS_PZ_0878,zebra_plains,Female,adult,1,ok,left,"NNP GZC Car '1WHITE', Person 'A'"
12566,1199,IBEIS_PZ_0926,zebra_plains,UNKNOWN SEX,infant,0,poor,frontleft,"NNP GZC Car '1WHITE', Person 'A'"
13017,1664,IBEIS_PZ_1391,zebra_plains,UNKNOWN SEX,infant,1,ok,left,"NNP GZC Car '3PURPLE', Person 'B'"
16671,1620,IBEIS_PZ_1347,zebra_plains,Male,adult,0,good,left,"NNP GZC Car '8WHITE', Person 'A'"
16672,716,IBEIS_PZ_0443,zebra_plains,Female,adult,0,ok,left,"NNP GZC Car '8WHITE', Person 'A'"
12577,1215,IBEIS_PZ_0942,zebra_plains,Male,adult,1,ok,left,"NNP GZC Car '1WHITE', Person 'A'"
12578,1198,IBEIS_PZ_0925,zebra_plains,UNKNOWN SEX,adult,1,ok,frontleft,"NNP GZC Car '1WHITE', Person 'C'"
12581,1244,IBEIS_PZ_0971,zebra_plains,UNKNOWN SEX,infant,0,poor,left,"NNP GZC Car '1WHITE', Person 'B'"
10422,294,IBEIS_PZ_0021,zebra_plains,Female,infant,0,poor,left,"PZ_MUGU_18,hyrule:joncrall:/media/raid/work/PZ_MUGU_18,,,,,0"
12587,1175,IBEIS_PZ_0902,zebra_plains,Female,juveniles- two year old,0,good,backleft,"NNP GZC Car '1WHITE', Person 'C'"
12590,1210,IBEIS_PZ_0937,zebra_plains,Female,adult,1,excellent,left,"NNP GZC Car '1WHITE', Person 'C'"
12592,442,IBEIS_PZ_0169,zebra_plains,Male,adult,0,ok,left,"NNP GZC Car '1WHITE', Person 'A'"
12593,1222,IBEIS_PZ_0949,zebra_plains,UNKNOWN SEX,adult,0,poor,left,"NNP GZC Car '1WHITE', Person 'A'"
12594,1840,IBEIS_PZ_1567,zebra_plains,Male,adult,0,poor,left,"NNP GZC Car '1WHITE', Person 'A'"
16435,-16435,____,zebra_plains,UNKNOWN NAME,infant,0,ok,right,"NNP GZC Car '8WHITE', Person 'A'"
12596,1161,IBEIS_PZ_0888,zebra_plains,Female,adult,0,ok,backleft,"NNP GZC Car '1WHITE', Person 'C'"
12599,1207,IBEIS_PZ_0934,zebra_plains,UNKNOWN SEX,infant,0,poor,left,"NNP GZC Car '1WHITE', Person 'A'"
12601,1178,IBEIS_PZ_0905,zebra_plains,Female,infant,0,ok,frontleft,"NNP GZC Car '1WHITE', Person 'A'"
12603,340,IBEIS_PZ_0067,zebra_plains,Female,adult,0,ok,frontleft,"NNP GZC Car '1WHITE', Person 'B'"
12606,1840,IBEIS_PZ_1567,zebra_plains,Male,adult,0,good,backleft,"NNP GZC Car '1WHITE', Person 'C'"
12615,1182,IBEIS_PZ_0909,zebra_plains,Female,adult,0,poor,frontleft,"NNP GZC Car '1WHITE', Person 'A'"
12616,1140,IBEIS_PZ_0867,zebra_plains,Female,adult,0,junk,left,"NNP GZC Car '1WHITE', Person 'B'"
12618,1171,IBEIS_PZ_0898,zebra_plains,UNKNOWN SEX,infant,0,poor,backleft,"NNP GZC Car '1WHITE', Person 'C'"
16715,1623,IBEIS_PZ_1350,zebra_plains,Female,adult,0,ok,left,"NNP GZC Car '1RED', Person 'B'"
16716,-16716,____,zebra_plains,UNKNOWN NAME,infant,0,poor,left,"NNP GZC Car '1RED', Person 'B'"
12621,1138,IBEIS_PZ_0865,zebra_plains,UNKNOWN SEX,juveniles- two year old,1,ok,left,"NNP GZC Car '1WHITE', Person 'B'"
12622,1145,IBEIS_PZ_0872,zebra_plains,UNKNOWN SEX,adult,0,poor,left,"NNP GZC Car '1WHITE', Person 'B'"
12629,1189,IBEIS_PZ_0916,zebra_plains,UNKNOWN SEX,infant,0,good,right,"NNP GZC Car '1WHITE', Person 'C'"
12630,1181,IBEIS_PZ_0908,zebra_plains,UNKNOWN SEX,infant,0,poor,left,"NNP GZC Car '1WHITE', Person 'B'"
13514,393,IBEIS_PZ_0120,zebra_plains,UNKNOWN SEX,infant,1,good,left,"PZ_MUGU_19,hyrule:joncrall:/media/raid/work/PZ_MUGU_19,,,,,0"
12635,1196,IBEIS_PZ_0923,zebra_plains,UNKNOWN SEX,infant,1,good,left,"NNP GZC Car '1WHITE', Person 'C'"
12636,564,IBEIS_PZ_0291,zebra_plains,Female,adult,0,good,left,"NNP GZC Car '1WHITE', Person 'C'"
12637,959,IBEIS_PZ_0686,zebra_plains,Female,infant,0,ok,backleft,"NNP GZC Car '1WHITE', Person 'B'"
12639,1179,IBEIS_PZ_0906,zebra_plains,Male,adult,0,ok,left,"NNP GZC Car '1WHITE', Person 'A'"
12640,1166,IBEIS_PZ_0893,zebra_plains,Female,adult,1,good,left,"NNP GZC Car '1WHITE', Person 'A'"
12641,1147,IBEIS_PZ_0874,zebra_plains,Male,adult,1,ok,left,"NNP GZC Car '1WHITE', Person 'B'"
12642,442,IBEIS_PZ_0169,zebra_plains,Male,adult,1,good,left,"NNP GZC Car '1WHITE', Person 'A'"
12645,1168,IBEIS_PZ_0895,zebra_plains,Female,adult,1,good,left,"NNP GZC Car '1WHITE', Person 'C'"
12646,537,IBEIS_PZ_0264,zebra_plains,Female,adult,1,ok,left,"NNP GZC Car '1WHITE', Person 'B'"
12648,1140,IBEIS_PZ_0867,zebra_plains,Female,adult,0,poor,left,"NNP GZC Car '1WHITE', Person 'B'"
12652,1159,IBEIS_PZ_0886,zebra_plains,Female,adult,0,poor,left,"NNP GZC Car '1WHITE', Person 'B'"
12653,340,IBEIS_PZ_0067,zebra_plains,Female,adult,0,good,left,"NNP GZC Car '1WHITE', Person 'B'"
12654,1170,IBEIS_PZ_0897,zebra_plains,UNKNOWN SEX,infant,0,ok,backleft,"NNP GZC Car '1WHITE', Person 'C'"
16752,-16752,____,zebra_plains,UNKNOWN NAME,infant,0,poor,left,"NNP GZC Car '1RED', Person 'B'"
16753,1640,IBEIS_PZ_1367,zebra_plains,Male,adult,0,ok,left,"NNP GZC Car '1RED', Person 'B'"
16754,-16754,____,zebra_plains,UNKNOWN NAME,infant,0,poor,backleft,"NNP GZC Car '1RED', Person 'B'"
16755,1564,IBEIS_PZ_1291,zebra_plains,Male,juveniles - one year old,0,ok,left,"NNP GZC Car '1RED', Person 'B'"
15081,865,IBEIS_PZ_0592,zebra_plains,Female,adult,0,poor,left,"NNP GZC Car '1PURPLE', Person 'B'"
10303,496,IBEIS_PZ_0223,zebra_plains,Female,adult,0,poor,left,"PZ_MUGU_18,hyrule:joncrall:/media/raid/work/PZ_MUGU_18,,,,,0"
12669,1173,IBEIS_PZ_0900,zebra_plains,Male,adult,0,ok,left,"NNP GZC Car '1WHITE', Person 'C'"
12673,1162,IBEIS_PZ_0889,zebra_plains,Female,adult,1,ok,left,"NNP GZC Car '1WHITE', Person 'A'"
8939,57,NNP_GIRM_0044,giraffe_masai,Female,adult,0,good,right,"NNP GZC Car '1WHITE', Person 'C'"
12681,1242,IBEIS_PZ_0969,zebra_plains,UNKNOWN SEX,infant,1,ok,left,"NNP GZC Car '1WHITE', Person 'B'"
12683,1174,IBEIS_PZ_0901,zebra_plains,Male,adult,1,ok,frontleft,"NNP GZC Car '1WHITE', Person 'B'"
12685,1237,IBEIS_PZ_0964,zebra_plains,Male,adult,1,good,left,"NNP GZC Car '1WHITE', Person 'C'"
12689,2014,IBEIS_PZ_1741,zebra_plains,Female,adult,1,ok,left,"NNP GZC Car '1WHITE', Person 'B'"
12690,1203,IBEIS_PZ_0930,zebra_plains,Male,adult,1,good,left,"NNP GZC Car '1WHITE', Person 'C'"
12691,1228,IBEIS_PZ_0955,zebra_plains,Female,adult,1,good,left,"NNP GZC Car '1WHITE', Person 'C'"
12692,527,IBEIS_PZ_0254,zebra_plains,Female,juveniles- two year old,0,poor,left,"NNP GZC Car '1WHITE', Person 'C'"
12693,1154,IBEIS_PZ_0881,zebra_plains,Female,adult,1,good,left,"NNP GZC Car '1WHITE', Person 'B'"
12694,1143,IBEIS_PZ_0870,zebra_plains,Female,adult,0,junk,left,"NNP GZC Car '1WHITE', Person 'B'"
14404,1555,IBEIS_PZ_1282,zebra_plains,Male,adult,0,ok,left,"NNP GZC Car '1PURPLE', Person 'D'"
12699,1243,IBEIS_PZ_0970,zebra_plains,Female,adult,0,ok,frontleft,"NNP GZC Car '1WHITE', Person 'C'"
12700,1229,IBEIS_PZ_0956,zebra_plains,UNKNOWN SEX,adult,1,good,left,"NNP GZC Car '1WHITE', Person 'B'"
12701,1156,IBEIS_PZ_0883,zebra_plains,Male,juveniles- two year old,1,good,left,"NNP GZC Car '1WHITE', Person 'C'"
14405,1489,IBEIS_PZ_1216,zebra_plains,Female,adult,0,ok,left,"NNP GZC Car '1PURPLE', Person 'D'"
12707,1212,IBEIS_PZ_0939,zebra_plains,UNKNOWN SEX,infant,1,ok,left,"NNP GZC Car '1WHITE', Person 'B'"
12708,987,IBEIS_PZ_0714,zebra_plains,Male,adult,1,good,left,"NNP GZC Car '1WHITE', Person 'C'"
12711,504,IBEIS_PZ_0231,zebra_plains,Female,adult,0,ok,left,"NNP GZC Car '1WHITE', Person 'A'"
12713,1172,IBEIS_PZ_0899,zebra_plains,UNKNOWN SEX,infant,0,good,right,"NNP GZC Car '1WHITE', Person 'C'"
12714,1155,IBEIS_PZ_0882,zebra_plains,Female,adult,0,good,right,"NNP GZC Car '1WHITE', Person 'C'"
12461,333,IBEIS_PZ_0060,zebra_plains,Male,adult,1,good,left,"NNP GZC Car '2WHITE', Person 'A'"
16812,2169,IBEIS_PZ_1896,zebra_plains,Female,adult,0,ok,left,"NNP GZC Car '1RED', Person 'A'"
12717,1173,IBEIS_PZ_0900,zebra_plains,Male,adult,0,poor,left,"NNP GZC Car '1WHITE', Person 'C'"
12718,1183,IBEIS_PZ_0910,zebra_plains,Female,adult,0,poor,left,"NNP GZC Car '1WHITE', Person 'B'"
12720,1169,IBEIS_PZ_0896,zebra_plains,Male,adult,1,good,left,"NNP GZC Car '1WHITE', Person 'B'"
12722,1178,IBEIS_PZ_0905,zebra_plains,Female,infant,1,good,left,"NNP GZC Car '1WHITE', Person 'A'"
12723,1262,IBEIS_PZ_0989,zebra_plains,UNKNOWN SEX,infant,0,poor,left,"NNP GZC Car '1WHITE', Person 'A'"
12726,1200,IBEIS_PZ_0927,zebra_plains,UNKNOWN SEX,infant,1,ok,left,"NNP GZC Car '1WHITE', Person 'A'"
12728,2015,IBEIS_PZ_1742,zebra_plains,Male,adult,1,excellent,left,"NNP GZC Car '1WHITE', Person 'C'"
8948,16,NNP_GIRM_0013,giraffe_masai,Male,adult,1,good,left,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
8880,79,NNP_GIRM_0059,giraffe_masai,Female,adult,0,ok,right,"NNP GZC Car '1WHITE', Person 'A'"
12733,1150,IBEIS_PZ_0877,zebra_plains,UNKNOWN SEX,infant,0,poor,left,"NNP GZC Car '1WHITE', Person 'A'"
12734,1815,IBEIS_PZ_1542,zebra_plains,Female,adult,0,good,backleft,"NNP GZC Car '1WHITE', Person 'A'"
16831,1939,IBEIS_PZ_1666,zebra_plains,Female,adult,1,good,left,"NNP GZC Car '1RED', Person 'B'"
