GID,Shares,Not Shares,Total,Proportion,tags
2841,10,0,10,100.0,"['zebra', 'grass', 'outdoor', 'animal', 'mammal', 'ground', 'field', 'standing', 'dry']"
681,10,0,10,100.0,"['grass', 'outdoor', 'field', 'animal', 'mammal', 'sky', 'standing', 'grassy', 'brown']"
6616,10,0,10,100.0,"['animal', 'zebra', 'outdoor', 'grass', 'mammal', 'standing']"
1333,9,0,9,100.0,"['giraffe', 'grass', 'outdoor', 'tree', 'sky', 'field', 'animal', 'mammal', 'grassy', 'herd', 'group', 'wild']"
2870,10,0,10,100.0,"['grass', 'outdoor', 'zebra', 'field', 'animal', 'tree', 'mammal', 'standing', 'open', 'grassy']"
3480,10,0,10,100.0,"['grass', 'outdoor', 'sky', 'field', 'animal', 'mammal', 'standing', 'group', 'grassy']"
5749,10,0,10,100.0,"['grass', 'outdoor', 'sky', 'animal', 'mammal', 'field', 'antelope', 'dry']"
1330,9,0,9,100.0,"['grass', 'zebra', 'outdoor', 'sky', 'field', 'animal', 'mammal', 'standing', 'group', 'grassy']"
616,10,0,10,100.0,"['grass', 'outdoor', 'sky', 'animal', 'giraffe', 'mammal', 'field', 'standing']"
8173,9,0,9,100.0,"['grass', 'zebra', 'outdoor', 'animal', 'field', 'mammal', 'standing', 'dry']"
826,10,0,10,100.0,"['zebra', 'grass', 'outdoor', 'animal', 'mammal', 'ground', 'road', 'walking', 'mountain', 'dirt']"
2457,10,0,10,100.0,"['zebra', 'grass', 'outdoor', 'animal', 'field', 'mammal', 'standing', 'group']"
2414,10,0,10,100.0,"['outdoor', 'water', 'bird', 'animal', 'aquatic bird', 'standing', 'beach', 'black', 'oystercatcher', 'shore']"
2311,10,0,10,100.0,"['grass', 'zebra', 'outdoor', 'field', 'animal', 'mammal', 'standing', 'grassy', 'open', 'dry']"
5750,10,0,10,100.0,"['grass', 'outdoor', 'animal', 'field', 'mammal', 'sky', 'antelope', 'dry', 'brown', 'open']"
3818,10,0,10,100.0,"['grass', 'outdoor', 'field', 'animal', 'sky', 'mammal', 'standing', 'brown', 'grassy']"
2484,10,0,10,100.0,"['grass', 'outdoor', 'animal', 'bird', 'bird of prey', 'standing', 'field', 'brown', 'secretary bird', 'tall', 'grassy', 'dry']"
3805,10,0,10,100.0,"['outdoor', 'sky', 'flying', 'animal', 'bird', 'bird of prey', 'hawk']"
4915,10,0,10,100.0,"['grass', 'outdoor', 'sky', 'field', 'animal', 'antelope', 'mammal', 'grassy', 'dry', 'bovine', 'tall']"
5525,10,0,10,100.0,"['outdoor', 'water', 'sky', 'grass', 'bird', 'animal', 'lake', 'group', 'standing', 'goose', 'pond', 'flock', 'aquatic bird']"
8797,10,0,10,100.0,"['water', 'outdoor', 'animal', 'mammal', 'zebra', 'lake', 'river']"
3460,10,0,10,100.0,"['grass', 'outdoor', 'field', 'bird', 'animal', 'ostrich', 'standing', 'grassy']"
1323,9,0,9,100.0,"['zebra', 'grass', 'outdoor', 'animal', 'tree', 'mammal', 'field', 'standing']"
351,29,1,30,96.66666666666667,"['giraffe', 'grass', 'outdoor', 'sky', 'animal', 'mammal', 'field', 'standing']"
1061,19,1,20,95.0,"['giraffe', 'grass', 'outdoor', 'sky', 'animal', 'mammal', 'tree', 'field', 'standing', 'grassy', 'tall']"
1869,19,1,20,95.0,"['grass', 'outdoor', 'zebra', 'animal', 'field', 'mammal', 'standing', 'brown', 'open', 'dry', 'grassy']"
195,19,1,20,95.0,"['outdoor', 'grass', 'animal', 'sky', 'rhinoceros', 'field', 'mammal', 'standing']"
5713,19,1,20,95.0,"['grass', 'outdoor', 'animal', 'field', 'mammal', 'standing']"
4908,19,1,20,95.0,"['grass', 'field', 'outdoor', 'animal', 'mammal', 'standing', 'group', 'brown', 'grassy', 'dry']"
533,19,1,20,95.0,"['grass', 'outdoor', 'zebra', 'animal', 'tree', 'mammal', 'field', 'standing']"
2032,19,1,20,95.0,"['grass', 'outdoor', 'animal', 'field', 'mammal', 'standing', 'rhinoceros', 'brown', 'grassy', 'dry', 'tall']"
3473,19,1,20,95.0,"['grass', 'field', 'outdoor', 'animal', 'cow', 'mammal', 'standing', 'grassy', 'green', 'pasture']"
516,18,1,19,94.73684210526316,"['tree', 'giraffe', 'outdoor', 'sky', 'mammal', 'animal', 'standing']"
897,9,1,10,90.0,"['outdoor', 'grass', 'giraffe', 'sky', 'animal', 'field', 'mammal', 'standing', 'grassy', 'walking', 'tall', 'open']"
7282,9,1,10,90.0,"['giraffe', 'outdoor', 'sky', 'animal', 'mammal', 'field', 'standing', 'green', 'leaf']"
551,9,1,10,90.0,"['grass', 'outdoor', 'zebra', 'field', 'animal', 'mammal', 'standing', 'grassy']"
15,9,1,10,90.0,"['giraffe', 'outdoor', 'grass', 'sky', 'animal', 'mammal', 'field', 'standing', 'tall', 'grassy', 'big cat']"
3451,9,1,10,90.0,"['grass', 'outdoor', 'zebra', 'field', 'animal', 'mammal', 'standing', 'grassy', 'open']"
8829,9,1,10,90.0,"['grass', 'zebra', 'outdoor', 'field', 'animal', 'mammal', 'standing', 'grassy']"
7749,9,1,10,90.0,"['outdoor', 'grass', 'giraffe', 'sky', 'tree', 'standing', 'field', 'animal', 'mammal', 'grassy']"
7904,9,1,10,90.0,"['grass', 'zebra', 'outdoor', 'sky', 'field', 'animal', 'mammal', 'standing', 'grassy']"
1341,9,1,10,90.0,"['outdoor', 'tree', 'sky', 'grass', 'standing']"
4878,9,1,10,90.0,"['grass', 'outdoor', 'field', 'cow', 'sky', 'bovine', 'animal', 'mammal', 'tall', 'standing', 'grassy']"
3398,9,1,10,90.0,"['zebra', 'outdoor', 'animal', 'ground', 'mammal', 'field', 'standing']"
877,9,1,10,90.0,"['zebra', 'tree', 'outdoor', 'grass', 'mammal', 'animal', 'standing', 'field']"
1281,9,1,10,90.0,"['tree', 'giraffe', 'outdoor', 'sky', 'standing', 'animal', 'mammal']"
3151,9,1,10,90.0,"['zebra', 'grass', 'tree', 'outdoor', 'animal', 'field', 'mammal', 'standing', 'grassy']"
4872,18,2,20,90.0,"['grass', 'outdoor', 'animal', 'reptile', 'lizard']"
900,9,1,10,90.0,"['outdoor', 'giraffe', 'grass', 'sky', 'animal', 'tree', 'mammal', 'standing', 'field', 'grassy', 'tall']"
876,9,1,10,90.0,"['outdoor', 'grass', 'tree', 'ground', 'zebra', 'animal', 'road', 'mammal', 'dirt', 'path', 'walking']"
7962,9,1,10,90.0,"['zebra', 'outdoor', 'grass', 'animal', 'mammal', 'standing', 'field']"
177,9,1,10,90.0,"['grass', 'outdoor', 'animal', 'rhinoceros', 'mammal', 'field', 'sky', 'elephant', 'grassy', 'open']"
331,9,1,10,90.0,"['grass', 'zebra', 'outdoor', 'tree', 'animal', 'field', 'mammal', 'standing', 'grassy']"
3293,9,1,10,90.0,"['grass', 'giraffe', 'outdoor', 'field', 'animal', 'sky', 'tree', 'mammal', 'grassy', 'green']"
2525,9,1,10,90.0,"['grass', 'outdoor', 'animal', 'mammal', 'rhinoceros', 'field', 'standing']"
2531,9,1,10,90.0,"['animal', 'grass', 'outdoor', 'mammal', 'rhinoceros', 'field', 'standing']"
3407,18,2,20,90.0,"['outdoor', 'animal', 'aquatic bird', 'bird', 'water', 'ground', 'beach', 'standing', 'stork', 'shore', 'edge', 'sand']"
346,27,3,30,90.0,"['grass', 'outdoor', 'sky', 'animal', 'mammal', 'giraffe', 'tree', 'field', 'standing']"
341,9,1,10,90.0,"['animal', 'reptile', 'outdoor', 'ground', 'crocodilian reptile', 'water']"
7867,9,1,10,90.0,"['zebra', 'grass', 'outdoor', 'animal', 'mammal', 'tree', 'standing', 'field', 'group']"
3165,9,1,10,90.0,"['grass', 'outdoor', 'giraffe', 'animal', 'field', 'green', 'mammal', 'lush']"
8167,9,1,10,90.0,"['grass', 'zebra', 'outdoor', 'animal', 'mammal', 'field', 'standing', 'dry', 'open']"
3086,9,1,10,90.0,"['grass', 'outdoor', 'field', 'animal', 'mammal', 'grassy']"
120,9,1,10,90.0,"['grass', 'animal', 'outdoor', 'mammal', 'antelope', 'tree', 'standing', 'field', 'brown']"
355,9,1,10,90.0,"['grass', 'zebra', 'outdoor', 'tree', 'animal', 'mammal', 'field', 'standing', 'green', 'grassy']"
3121,9,1,10,90.0,"['giraffe', 'outdoor', 'grass', 'sky', 'tree', 'mammal', 'animal', 'field', 'standing', 'grassy', 'walking', 'green', 'open']"
542,9,1,10,90.0,"['grass', 'outdoor', 'zebra', 'animal', 'field', 'standing', 'mammal']"
912,9,1,10,90.0,"['outdoor', 'grass', 'giraffe', 'sky', 'animal', 'tree', 'mammal', 'field', 'standing', 'grassy', 'tall']"
5434,9,1,10,90.0,"['outdoor', 'ground', 'grass', 'animal', 'mammal', 'black', 'monkey']"
5399,9,1,10,90.0,"['tree', 'primate', 'monkey', 'animal', 'outdoor', 'mammal', 'cat', 'sitting']"
5397,9,1,10,90.0,"['tree', 'outdoor', 'animal', 'monkey', 'primate', 'mammal']"
3078,18,2,20,90.0,"['grass', 'tree', 'outdoor', 'animal', 'mammal', 'field']"
4902,9,1,10,90.0,"['grass', 'zebra', 'outdoor', 'animal', 'mammal', 'field', 'standing', 'grassy']"
3419,9,1,10,90.0,"['outdoor', 'tree', 'animal', 'bird', 'branch', 'aquatic bird']"
3073,9,1,10,90.0,"['grass', 'outdoor', 'mammal', 'tree', 'animal', 'field', 'standing', 'group']"
7410,9,1,10,90.0,"['grass', 'zebra', 'outdoor', 'animal', 'ground', 'mammal', 'field']"
889,9,1,10,90.0,"['grass', 'outdoor', 'zebra', 'sky', 'animal', 'mammal', 'field', 'standing', 'open', 'grassy']"
643,9,1,10,90.0,"['tree', 'outdoor', 'giraffe', 'animal', 'grass', 'mammal', 'standing']"
4874,9,1,10,90.0,"['animal', 'reptile', 'grass', 'outdoor', 'ground', 'lizard', 'laying']"
344,9,1,10,90.0,"['animal', 'reptile', 'crocodilian reptile', 'outdoor', 'water', 'laying']"
4901,18,2,20,90.0,"['zebra', 'grass', 'outdoor', 'animal', 'mammal', 'field', 'sky', 'standing']"
7301,9,1,10,90.0,"['grass', 'outdoor', 'zebra', 'field', 'animal', 'mammal', 'standing', 'tall', 'dry', 'grassy']"
8792,9,1,10,90.0,"['outdoor', 'animal', 'water', 'zebra', 'mammal']"
607,9,1,10,90.0,"['grass', 'outdoor', 'zebra', 'animal', 'mammal', 'field', 'standing']"
2026,9,1,10,90.0,"['grass', 'outdoor', 'field', 'sky', 'animal', 'brown', 'mammal', 'standing', 'grassy', 'dry', 'tall']"
2031,9,1,10,90.0,"['grass', 'outdoor', 'animal', 'field', 'mammal', 'rhinoceros', 'standing', 'brown', 'grassy']"
6197,9,1,10,90.0,"['grass', 'outdoor', 'sky', 'zebra', 'animal', 'field', 'mammal', 'standing', 'grassy', 'open']"
2491,9,1,10,90.0,"['zebra', 'grass', 'animal', 'outdoor', 'mammal', 'field', 'standing']"
1000,9,1,10,90.0,"['grass', 'outdoor', 'zebra', 'animal', 'mammal', 'field', 'standing', 'grassy']"
3202,9,1,10,90.0,"['zebra', 'grass', 'outdoor', 'animal', 'mammal', 'field', 'standing']"
7031,9,1,10,90.0,"['outdoor', 'bird', 'water', 'animal', 'ground', 'group', 'standing', 'shore', 'aquatic bird']"
6797,9,1,10,90.0,"['grass', 'animal', 'outdoor', 'mammal', 'field', 'standing', 'cheetah', 'big cat', 'open', 'grassy']"
4997,9,1,10,90.0,"['grass', 'zebra', 'outdoor', 'animal', 'field', 'sky', 'mammal', 'grassy', 'open']"
1899,9,1,10,90.0,"['zebra', 'grass', 'outdoor', 'animal', 'mammal', 'herd', 'field', 'group']"
799,9,1,10,90.0,"['grass', 'zebra', 'outdoor', 'mammal', 'animal', 'field', 'standing', 'dry']"
366,9,1,10,90.0,"['grass', 'zebra', 'outdoor', 'field', 'animal', 'mammal', 'standing']"
6788,9,1,10,90.0,"['grass', 'giraffe', 'outdoor', 'animal', 'mammal', 'field', 'standing']"
1859,9,1,10,90.0,"['grass', 'zebra', 'outdoor', 'animal', 'field', 'mammal', 'standing', 'dry', 'grassy']"
180,9,1,10,90.0,"['outdoor', 'grass', 'sky', 'elephant', 'animal', 'rhinoceros', 'mammal', 'field', 'grassy']"
2762,9,1,10,90.0,"['zebra', 'outdoor', 'ground', 'tree', 'animal', 'mammal', 'road', 'grass', 'crossing', 'walking', 'dirt', 'path']"
5006,9,1,10,90.0,"['zebra', 'animal', 'outdoor', 'standing', 'mammal', 'looking']"
8403,9,1,10,90.0,"['grass', 'outdoor', 'zebra', 'field', 'animal', 'mammal', 'standing', 'dry', 'grassy', 'tall', 'lone']"
5686,9,1,10,90.0,"['outdoor', 'tree', 'grass', 'animal', 'bovine', 'mammal']"
273,9,1,10,90.0,"['grass', 'zebra', 'outdoor', 'tree', 'animal', 'mammal', 'field', 'grazing', 'standing']"
5239,9,1,10,90.0,"['giraffe', 'outdoor', 'grass', 'tree', 'sky', 'animal', 'field', 'mammal', 'standing', 'tall', 'grassy']"
193,18,2,20,90.0,"['rhinoceros', 'grass', 'outdoor', 'animal', 'mammal', 'sky', 'cow', 'field', 'laying']"
5721,9,1,10,90.0,"['grass', 'outdoor', 'animal', 'mammal', 'field', 'brown', 'grassy']"
3875,9,1,10,90.0,"['grass', 'outdoor', 'zebra', 'animal', 'mammal', 'field', 'sky', 'dry', 'standing', 'brown', 'tall', 'grassy']"
927,9,1,10,90.0,"['grass', 'giraffe', 'outdoor', 'sky', 'field', 'standing', 'grassy', 'dry', 'open', 'plain', 'walking', 'tall', 'wild']"
1952,9,1,10,90.0,"['zebra', 'outdoor', 'water', 'animal', 'ground', 'drinking', 'mammal', 'river', 'drink', 'lake', 'pond']"
3343,9,1,10,90.0,"['grass', 'outdoor', 'giraffe', 'field', 'sky', 'animal', 'mammal', 'grassy', 'standing', 'green', 'open']"
1099,9,1,10,90.0,"['giraffe', 'outdoor', 'grass', 'sky', 'tree', 'animal', 'standing', 'field', 'mammal', 'tall', 'walking', 'grassy', 'deer', 'wild', 'open']"
223,9,1,10,90.0,"['outdoor', 'giraffe', 'tree', 'sky', 'grass', 'animal', 'mammal', 'field', 'standing', 'green', 'grassy']"
4279,9,1,10,90.0,"['zebra', 'outdoor', 'grass', 'sky', 'animal', 'mammal', 'field', 'herd']"
4,9,1,10,90.0,"['zebra', 'grass', 'outdoor', 'animal', 'standing', 'mammal', 'field']"
591,9,1,10,90.0,"['grass', 'zebra', 'outdoor', 'tree', 'animal', 'mammal', 'field', 'standing']"
6698,9,1,10,90.0,"['grass', 'outdoor', 'zebra', 'field', 'animal', 'sky', 'mammal', 'grassy', 'open']"
586,9,1,10,90.0,"['giraffe', 'outdoor', 'tree', 'sky', 'grass', 'mammal', 'animal', 'field', 'standing', 'grassy']"
7933,27,3,30,90.0,"['grass', 'zebra', 'outdoor', 'field', 'animal', 'standing', 'mammal', 'grassy']"
7636,9,1,10,90.0,"['outdoor', 'ground', 'sky', 'grass', 'animal', 'dirt']"
579,9,1,10,90.0,"['grass', 'zebra', 'outdoor', 'animal', 'ground', 'mammal', 'field', 'standing']"
1041,9,1,10,90.0,"['outdoor', 'tree', 'grass', 'zebra', 'sky', 'animal', 'mammal', 'standing', 'field', 'grassy']"
461,9,1,10,90.0,"['zebra', 'grass', 'outdoor', 'animal', 'standing', 'mammal', 'field']"
7640,9,1,10,90.0,"['ground', 'outdoor', 'animal', 'grass', 'bird', 'ostrich', 'laying']"
956,9,1,10,90.0,"['zebra', 'grass', 'outdoor', 'sky', 'animal', 'mammal', 'field', 'standing', 'group', 'herd', 'grassy']"
583,18,2,20,90.0,"['zebra', 'grass', 'outdoor', 'tree', 'animal', 'mammal', 'field', 'group']"
2399,9,1,10,90.0,"['zebra', 'water', 'outdoor', 'animal', 'ground', 'drinking', 'drink', 'mammal']"
2403,9,1,10,90.0,"['zebra', 'ground', 'outdoor', 'animal', 'water', 'drinking', 'mammal', 'standing', 'drink']"
3336,9,1,10,90.0,"['grass', 'outdoor', 'tree', 'giraffe', 'animal', 'mammal', 'field', 'green', 'standing', 'grassy']"
432,9,1,10,90.0,"['grass', 'outdoor', 'tree', 'animal', 'mammal', 'field', 'tall', 'standing', 'rhinoceros']"
2416,9,1,10,90.0,"['zebra', 'grass', 'outdoor', 'mammal', 'animal', 'field', 'ground', 'standing', 'dirt', 'grassy']"
82,9,1,10,90.0,"['grass', 'outdoor', 'zebra', 'field', 'standing', 'animal', 'mammal', 'brown', 'dry']"
8194,9,1,10,90.0,"['grass', 'zebra', 'outdoor', 'animal', 'field', 'mammal', 'standing', 'dry', 'grassy']"
6198,9,1,10,90.0,"['grass', 'outdoor', 'zebra', 'field', 'animal', 'mammal', 'standing', 'grassy', 'open']"
6590,9,1,10,90.0,"['grass', 'outdoor', 'bird', 'animal', 'standing', 'aquatic bird', 'heron', 'field', 'tall', 'long', 'grassy']"
4062,9,1,10,90.0,"['grass', 'outdoor', 'animal', 'mammal', 'field', 'standing', 'zebra']"
8772,8,1,9,88.88888888888889,"['grass', 'outdoor', 'zebra', 'animal', 'mammal', 'field', 'standing']"
1579,8,1,9,88.88888888888889,"['grass', 'outdoor', 'zebra', 'animal', 'field', 'mammal', 'standing', 'open', 'dry', 'grassy']"
2559,8,1,9,88.88888888888889,"['grass', 'zebra', 'outdoor', 'mammal', 'animal', 'tree', 'walking']"
1595,8,1,9,88.88888888888889,"['zebra', 'ground', 'outdoor', 'grass', 'animal', 'standing', 'mammal']"
1860,8,1,9,88.88888888888889,"['grass', 'zebra', 'outdoor', 'field', 'standing', 'animal', 'mammal', 'dry', 'brown', 'grassy']"
630,7,1,8,87.5,"['grass', 'outdoor', 'sky', 'animal', 'field', 'mammal', 'zebra', 'standing', 'tall', 'brown', 'grassy', 'dry']"
8325,35,5,40,87.5,"['giraffe', 'tree', 'outdoor', 'sky', 'animal', 'mammal', 'standing']"
4913,26,4,30,86.66666666666667,"['grass', 'outdoor', 'sky', 'field', 'animal', 'mammal', 'dry', 'brown', 'grassy', 'standing', 'tall', 'group', 'open']"
34,26,4,30,86.66666666666667,"['grass', 'outdoor', 'zebra', 'animal', 'mammal', 'field', 'sky', 'grassy', 'standing', 'open', 'dry']"
3462,17,3,20,85.0,"['grass', 'outdoor', 'animal', 'bird', 'secretary bird', 'bird of prey', 'field', 'standing', 'grassy']"
4897,17,3,20,85.0,"['grass', 'outdoor', 'sky', 'animal', 'mammal', 'field', 'antelope', 'brown', 'mountain', 'grassy', 'dry', 'background', 'open']"
3416,17,3,20,85.0,"['water', 'laying', 'animal', 'dog', 'lying', 'aquatic mammal']"
3434,17,3,20,85.0,"['zebra', 'grass', 'outdoor', 'mammal', 'field', 'animal', 'standing', 'grassy', 'open']"
3226,17,3,20,85.0,"['outdoor', 'tree', 'zebra', 'animal', 'mammal', 'standing', 'field']"
4877,17,3,20,85.0,"['grass', 'outdoor', 'sky', 'field', 'animal', 'bovine', 'tall', 'grassy', 'standing', 'mammal']"
485,17,3,20,85.0,"['grass', 'outdoor', 'animal', 'tree', 'field', 'mammal', 'standing']"
550,17,3,20,85.0,"['grass', 'outdoor', 'zebra', 'tree', 'mammal', 'animal', 'field', 'standing']"
7776,17,3,20,85.0,"['zebra', 'grass', 'outdoor', 'animal', 'mammal', 'field', 'standing', 'dry']"
363,17,3,20,85.0,"['grass', 'outdoor', 'zebra', 'field', 'animal', 'mammal', 'standing', 'grassy', 'green']"
312,17,3,20,85.0,"['outdoor', 'grass', 'sky', 'giraffe', 'tree', 'mammal', 'animal', 'field', 'standing', 'green', 'grassy', 'llama', 'lush']"
393,16,3,19,84.21052631578948,"['grass', 'outdoor', 'zebra', 'animal', 'field', 'mammal', 'standing']"
386,25,5,30,83.33333333333333,"['grass', 'outdoor', 'field', 'sky', 'animal', 'mammal', 'standing', 'zebra', 'grassy', 'open']"
3131,25,5,30,83.33333333333333,"['tree', 'giraffe', 'grass', 'outdoor', 'sky', 'animal', 'mammal', 'standing', 'field', 'green']"
8353,33,7,40,82.5,"['tree', 'outdoor', 'giraffe', 'sky', 'grass', 'standing', 'field', 'tall', 'grassy', 'green', 'plant']"
496,31,7,38,81.57894736842105,"['outdoor', 'sky', 'giraffe', 'grass', 'tree', 'animal', 'field', 'mammal', 'standing']"
8322,48,11,59,81.35593220338983,"['giraffe', 'outdoor', 'grass', 'tree', 'sky', 'field', 'animal', 'standing', 'mammal', 'grassy', 'green']"
