GID,Album,AGE,INDIVIDUAL_NAME,QUALITY,SEX,SPECIES,VIEW_POINT,tags,Shares,Not Shares,Total,Proportion,URL
8324,"photo_album_11,photo_album_67","infant,infant","NNP_GIRM_0048,NNP_GIRM_0048","poor,poor","UNKNOWN SEX,UNKNOWN SEX","giraffe_masai,giraffe_masai","front,front","['giraffe', 'outdoor', 'tree', 'sky', 'animal', 'mammal', 'standing']",19,0,19,100.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/8324.jpeg"" width = ""350"">"
509,photo_album_28,adult,NNP_GIRM_0099,ok,Male,giraffe_masai,frontleft,"['outdoor', 'sky', 'giraffe', 'grass', 'tree', 'animal', 'field', 'mammal', 'standing', 'grassy', 'hill', 'open', 'wild', 'hillside', 'lush', 'day']",9,0,9,100.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/509.jpeg"" width = ""350"">"
1532,photo_album_12,adult,IBEIS_PZ_1275,good,Male,zebra_plains,frontleft,"['grass', 'outdoor', 'zebra', 'animal', 'field', 'mammal', 'standing', 'open', 'grassy']",10,0,10,100.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/1532.jpeg"" width = ""350"">"
2870,photo_album_79,infant,IBEIS_PZ_1662,good,Male,zebra_plains,left,"['grass', 'outdoor', 'zebra', 'field', 'animal', 'tree', 'mammal', 'standing', 'open', 'grassy', 'dry', 'lone', 'distance']",10,0,10,100.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/2870.jpeg"" width = ""350"">"
1731,"photo_album_25,photo_album_25","adult,infant","NNP_GIRM_0110,____","ok,poor","Male,UNKNOWN NAME","giraffe_masai,giraffe_masai","left,right","['giraffe', 'grass', 'outdoor', 'animal', 'mammal', 'tree', 'field', 'standing', 'tall', 'wild', 'grassy', 'lush']",10,0,10,100.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/1731.jpeg"" width = ""350"">"
1732,photo_album_76,adult,NNP_GIRM_0110,good,Male,giraffe_masai,left,"['grass', 'outdoor', 'animal', 'tree', 'giraffe', 'mammal', 'field', 'standing', 'tall', 'grassy', 'wild', 'lush', 'bushes']",10,0,10,100.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/1732.jpeg"" width = ""350"">"
2841,photo_album_79,adult,IBEIS_PZ_1666,good,Female,zebra_plains,left,"['zebra', 'grass', 'outdoor', 'animal', 'mammal', 'ground', 'field', 'standing', 'dry', 'dirt']",10,0,10,100.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/2841.jpeg"" width = ""350"">"
5209,"photo_album_64,photo_album_64","adult,infant","IBEIS_PZ_1825,____","ok,junk","Female,UNKNOWN NAME","zebra_plains,zebra_plains","left,left","['zebra', 'tree', 'outdoor', 'grass', 'standing', 'mammal', 'animal', 'field']",10,0,10,100.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/5209.jpeg"" width = ""350"">"
6430,photo_album_45,adult,IBEIS_PZ_1795,ok,Female,zebra_plains,left,"['grass', 'zebra', 'outdoor', 'animal', 'mammal', 'field', 'standing', 'grassy', 'baby', 'adult', 'lush']",10,0,10,100.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/6430.jpeg"" width = ""350"">"
2695,photo_album_21,adult,IBEIS_PZ_1668,good,Male,zebra_plains,frontleft,"['zebra', 'grass', 'outdoor', 'ground', 'animal', 'mammal', 'field', 'standing', 'dirt', 'dry']",9,0,9,100.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/2695.jpeg"" width = ""350"">"
450,"photo_album_32,photo_album_32","adult,infant","IBEIS_PZ_0906,____","ok,poor","Male,UNKNOWN NAME","zebra_plains,zebra_plains","left,backleft","['zebra', 'grass', 'outdoor', 'animal', 'mammal', 'field', 'group', 'wild', 'grassy', 'lush']",10,0,10,100.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/450.jpeg"" width = ""350"">"
2457,"photo_album_9,photo_album_9,photo_album_9","adult,adult,adult","IBEIS_PZ_1227,IBEIS_PZ_1267,IBEIS_PZ_1892","excellent,good,ok","Male,Female,Female","zebra_plains,zebra_plains,zebra_plains","left,left,left","['zebra', 'grass', 'outdoor', 'animal', 'field', 'mammal', 'standing', 'group', 'wild', 'dry', 'distance']",10,0,10,100.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/2457.jpeg"" width = ""350"">"
5712,photo_album_24,infant,____,ok,UNKNOWN NAME,giraffe_masai,right,"['grass', 'outdoor', 'giraffe', 'animal', 'field', 'mammal', 'standing', 'grassy']",10,0,10,100.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/5712.jpeg"" width = ""350"">"
2151,photo_album_9,adult,IBEIS_PZ_0355,excellent,Male,zebra_plains,frontleft,"['grass', 'zebra', 'outdoor', 'animal', 'field', 'mammal', 'standing', 'grassy', 'dry']",10,0,10,100.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/2151.jpeg"" width = ""350"">"
1062,"photo_album_29,photo_album_29","adult,infant","NNP_GIRM_0143,____","good,poor","Female,UNKNOWN NAME","giraffe_masai,giraffe_masai","left,frontleft","['giraffe', 'outdoor', 'sky', 'animal', 'grass', 'mammal', 'field', 'standing', 'grassy', 'open', 'wild', 'dry', 'day', 'lush']",10,0,10,100.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/1062.jpeg"" width = ""350"">"
5011,photo_album_4,adult,IBEIS_PZ_0182,good,Male,zebra_plains,frontleft,"['grass', 'outdoor', 'zebra', 'animal', 'sky', 'mammal', 'field', 'standing', 'grassy', 'open', 'dry', 'lone', 'day']",10,0,10,100.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/5011.jpeg"" width = ""350"">"
3337,photo_album_84,juveniles - one year old,NNP_GIRM_0088,excellent,Male,giraffe_masai,left,"['grass', 'outdoor', 'animal', 'mammal', 'field', 'sky', 'giraffe', 'grassy', 'green', 'open', 'lush', 'distance']",10,0,10,100.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/3337.jpeg"" width = ""350"">"
9019,photo_album_68,adult,IBEIS_PZ_0595,ok,Male,zebra_plains,left,"['ground', 'outdoor', 'zebra', 'animal', 'grass', 'mammal', 'road', 'dirt', 'walking']",10,0,10,100.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/9019.jpeg"" width = ""350"">"
7956,"photo_album_16,photo_album_16","adult,adult","IBEIS_PZ_0037,IBEIS_PZ_0200","good,poor","Male,Female","zebra_plains,zebra_plains","left,left","['zebra', 'grass', 'outdoor', 'mammal', 'animal', 'standing', 'field', 'grassy']",10,0,10,100.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/7956.jpeg"" width = ""350"">"
787,photo_album_70,infant,IBEIS_PZ_1285,ok,Female,zebra_plains,left,"['grass', 'outdoor', 'field', 'animal', 'mammal', 'standing', 'zebra', 'tall', 'grassy', 'open', 'dry', 'lone', 'day']",10,0,10,100.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/787.jpeg"" width = ""350"">"
826,"photo_album_48,photo_album_48","adult,adult","IBEIS_PZ_1382,IBEIS_PZ_1378","ok,ok","Male,Male","zebra_plains,zebra_plains","backleft,backleft","['zebra', 'grass', 'outdoor', 'animal', 'mammal', 'ground', 'road', 'walking', 'mountain', 'dirt']",10,0,10,100.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/826.jpeg"" width = ""350"">"
896,"photo_album_50,photo_album_50","infant,infant","____,____","ok,poor","UNKNOWN NAME,UNKNOWN NAME","giraffe_masai,giraffe_masai","front,front","['outdoor', 'grass', 'giraffe', 'sky', 'tree', 'field', 'animal', 'standing', 'mammal', 'grassy', 'open', 'lone', 'dry', 'wild', 'bushes', 'distance']",10,0,10,100.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/896.jpeg"" width = ""350"">"
8173,photo_album_30,juveniles - one year old,IBEIS_PZ_0106,good,Male,zebra_plains,left,"['grass', 'zebra', 'outdoor', 'animal', 'field', 'mammal', 'standing', 'dry', 'grassy']",9,0,9,100.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/8173.jpeg"" width = ""350"">"
913,"photo_album_50,photo_album_50","adult,infant","NNP_GIRM_0143,____","good,poor","Female,UNKNOWN NAME","giraffe_masai,giraffe_masai","left,frontright","['outdoor', 'giraffe', 'grass', 'sky', 'tree', 'animal', 'mammal', 'standing', 'field', 'grassy', 'tall', 'open', 'wild', 'bushes', 'lush']",10,0,10,100.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/913.jpeg"" width = ""350"">"
7768,photo_album_71,adult,IBEIS_PZ_0519,good,Female,zebra_plains,left,"['grass', 'zebra', 'outdoor', 'sky', 'animal', 'standing', 'mammal', 'field']",10,0,10,100.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/7768.jpeg"" width = ""350"">"
3289,photo_album_13,adult,IBEIS_PZ_0214,ok,Male,zebra_plains,left,"['zebra', 'outdoor', 'tree', 'grass', 'mammal', 'animal', 'standing', 'grazing', 'field', 'eating', 'dirt', 'lush']",10,0,10,100.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/3289.jpeg"" width = ""350"">"
7748,photo_album_27,infant,____,poor,UNKNOWN NAME,giraffe_masai,right,"['outdoor', 'grass', 'tree', 'sky', 'giraffe', 'standing', 'animal', 'field', 'mammal', 'grassy', 'tall', 'bushes', 'lush']",10,0,10,100.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/7748.jpeg"" width = ""350"">"
390,photo_album_46,juveniles- two year old,IBEIS_PZ_0711,good,Female,zebra_plains,left,"['grass', 'zebra', 'outdoor', 'field', 'animal', 'mammal', 'standing', 'grassy', 'open', 'lush', 'distance', 'giraffe']",10,0,10,100.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/390.jpeg"" width = ""350"">"
3274,photo_album_18,adult,IBEIS_PZ_0901,ok,Male,zebra_plains,frontleft,"['grass', 'zebra', 'outdoor', 'animal', 'field', 'mammal', 'standing', 'grassy', 'day', 'lush']",10,0,10,100.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/3274.jpeg"" width = ""350"">"
3260,"photo_album_13,photo_album_13","adult,adult","IBEIS_PZ_0881,IBEIS_PZ_0870","good,junk","Female,Female","zebra_plains,zebra_plains","left,left","['zebra', 'tree', 'outdoor', 'mammal', 'grass', 'animal', 'grazing', 'field', 'standing', 'forest', 'lush']",10,0,10,100.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/3260.jpeg"" width = ""350"">"
3253,"photo_album_18,photo_album_18","juveniles- two year old,adult","IBEIS_PZ_0865,IBEIS_PZ_0872","ok,poor","UNKNOWN SEX,UNKNOWN SEX","zebra_plains,zebra_plains","left,left","['tree', 'zebra', 'grass', 'outdoor', 'animal', 'mammal', 'standing', 'field', 'forest', 'lush', 'wooded']",10,0,10,100.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/3253.jpeg"" width = ""350"">"
351,"photo_album_1,photo_album_14,photo_album_82","infant,infant,infant","____,____,____","ok,ok,ok","UNKNOWN NAME,UNKNOWN NAME,UNKNOWN NAME","giraffe_masai,giraffe_masai,giraffe_masai","right,right,right","['giraffe', 'grass', 'outdoor', 'sky', 'animal', 'mammal', 'field', 'standing', 'grassy', 'lush']",29,1,30,96.66666666666669,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/351.jpeg"" width = ""350"">"
1061,"photo_album_29,photo_album_90","adult,adult","NNP_GIRM_0143,NNP_GIRM_0143","good,good","Female,Female","giraffe_masai,giraffe_masai","left,left","['giraffe', 'grass', 'outdoor', 'sky', 'animal', 'mammal', 'tree', 'field', 'standing', 'grassy', 'tall', 'open', 'wild', 'day', 'lush']",19,1,20,95.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/1061.jpeg"" width = ""350"">"
1869,"photo_album_25,photo_album_54","juveniles - one year old,juveniles - one year old","IBEIS_PZ_1698,IBEIS_PZ_1698","good,good","Male,Male","zebra_plains,zebra_plains","left,left","['grass', 'outdoor', 'zebra', 'animal', 'field', 'mammal', 'standing', 'brown', 'open', 'dry', 'grassy']",19,1,20,95.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/1869.jpeg"" width = ""350"">"
5713,"photo_album_3,photo_album_41","juveniles - one year old,juveniles - one year old","NNP_GIRM_0149,NNP_GIRM_0149","ok,ok","Male,Male","giraffe_masai,giraffe_masai","frontleft,frontleft","['grass', 'outdoor', 'animal', 'field', 'mammal', 'standing', 'grassy', 'wild', 'lush', 'distance']",19,1,20,95.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/5713.jpeg"" width = ""350"">"
533,"photo_album_10,photo_album_72","infant,infant","____,____","poor,poor","UNKNOWN NAME,UNKNOWN NAME","zebra_plains,zebra_plains","left,left","['grass', 'outdoor', 'zebra', 'animal', 'tree', 'mammal', 'field', 'standing']",19,1,20,95.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/533.jpeg"" width = ""350"">"
516,"photo_album_10,photo_album_72","infant,infant","____,____","junk,junk","UNKNOWN NAME,UNKNOWN NAME","giraffe_masai,giraffe_masai","right,right","['tree', 'giraffe', 'outdoor', 'sky', 'mammal', 'animal', 'standing', 'day']",18,1,19,94.73684210526315,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/516.jpeg"" width = ""350"">"
7933,"photo_album_16,photo_album_47,photo_album_88","infant,infant,infant","IBEIS_PZ_0013,IBEIS_PZ_0013,IBEIS_PZ_0013","ok,ok,ok","UNKNOWN SEX,UNKNOWN SEX,UNKNOWN SEX","zebra_plains,zebra_plains,zebra_plains","right,right,right","['grass', 'zebra', 'outdoor', 'field', 'animal', 'standing', 'mammal', 'grassy', 'distance']",27,3,30,90.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/7933.jpeg"" width = ""350"">"
799,"photo_album_70,photo_album_70","adult,infant","IBEIS_PZ_1896,____","good,junk","Female,UNKNOWN NAME","zebra_plains,zebra_plains","left,left","['grass', 'zebra', 'outdoor', 'mammal', 'animal', 'field', 'standing', 'dry']",9,1,10,90.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/799.jpeg"" width = ""350"">"
461,"photo_album_32,photo_album_32","infant,juveniles- two year old","____,IBEIS_PZ_0902","poor,ok","UNKNOWN NAME,Female","zebra_plains,zebra_plains","left,frontleft","['zebra', 'grass', 'outdoor', 'animal', 'standing', 'mammal', 'field', 'area']",9,1,10,90.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/461.jpeg"" width = ""350"">"
583,"photo_album_36,photo_album_72,photo_album_36,photo_album_72,photo_album_36,photo_album_72,photo_album_36,photo_album_72,photo_album_36,photo_album_72","infant,infant,infant,infant,infant,infant,infant,infant,infant,infant","IBEIS_PZ_1565,IBEIS_PZ_1565,____,____,____,____,____,____,____,____","ok,ok,junk,junk,poor,poor,ok,ok,ok,ok","Female,Female,UNKNOWN NAME,UNKNOWN NAME,UNKNOWN NAME,UNKNOWN NAME,UNKNOWN NAME,UNKNOWN NAME,UNKNOWN NAME,UNKNOWN NAME","zebra_plains,zebra_plains,zebra_plains,zebra_plains,zebra_plains,zebra_plains,zebra_plains,zebra_plains,zebra_plains,zebra_plains","left,left,right,right,right,right,right,right,backright,backright","['zebra', 'grass', 'outdoor', 'tree', 'animal', 'mammal', 'field', 'group']",18,2,20,90.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/583.jpeg"" width = ""350"">"
579,"photo_album_10,photo_album_10","infant,infant","____,____","poor,good","UNKNOWN NAME,UNKNOWN NAME","zebra_plains,zebra_plains","right,right","['grass', 'zebra', 'outdoor', 'animal', 'ground', 'mammal', 'field', 'standing', 'dirt']",9,1,10,90.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/579.jpeg"" width = ""350"">"
7867,"photo_album_47,photo_album_47","infant,adult","IBEIS_PZ_0011,IBEIS_PZ_0204","poor,ok","UNKNOWN SEX,Female","zebra_plains,zebra_plains","left,back","['zebra', 'grass', 'outdoor', 'animal', 'mammal', 'tree', 'standing', 'field', 'group', 'grassy']",9,1,10,90.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/7867.jpeg"" width = ""350"">"
6198,photo_album_94,adult,IBEIS_PZ_0445,excellent,Female,zebra_plains,left,"['grass', 'outdoor', 'zebra', 'field', 'animal', 'mammal', 'standing', 'grassy', 'open', 'giraffe']",9,1,10,90.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/6198.jpeg"" width = ""350"">"
8403,photo_album_73,adult,IBEIS_PZ_0523,ok,Male,zebra_plains,frontleft,"['grass', 'outdoor', 'zebra', 'field', 'animal', 'mammal', 'standing', 'dry', 'grassy', 'tall', 'lone', 'wild']",9,1,10,90.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/8403.jpeg"" width = ""350"">"
1859,photo_album_22,adult,IBEIS_PZ_1239,excellent,Female,zebra_plains,left,"['grass', 'zebra', 'outdoor', 'animal', 'field', 'mammal', 'standing', 'dry', 'grassy']",9,1,10,90.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/1859.jpeg"" width = ""350"">"
877,photo_album_50,adult,IBEIS_PZ_1385,good,Female,zebra_plains,right,"['zebra', 'tree', 'outdoor', 'grass', 'mammal', 'animal', 'standing', 'field', 'area', 'lush']",9,1,10,90.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/877.jpeg"" width = ""350"">"
7904,photo_album_47,infant,IBEIS_PZ_0206,good,UNKNOWN SEX,zebra_plains,left,"['grass', 'zebra', 'outdoor', 'sky', 'field', 'animal', 'mammal', 'standing', 'grassy', 'open', 'dry', 'distance', 'day']",9,1,10,90.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/7904.jpeg"" width = ""350"">"
